register,type,type_code,scale,scale_str,elem_size,count,source_ptr,notes
37020,u16,0x02,0,x1,2,1,0x20014F6A,
37021,u32,0x04,0,x1,4,1,0x20014F78,
37023,u16,0x02,0,x1,2,1,0x20014F4E,
37024,u16,0x02,0,x1,2,1,0x20014F52,
38000,i16,0x12,0,x1,2,1,0x20000168,
38001,u16,0x02,0,x1,2,1,0x2000016A,
38002,i16,0x12,0,x1,2,1,0x2000016C,
38003,u16,0x02,0,x1,2,1,0x2000016E,
38004,u16,0x02,0,x1,2,1,0x20000170,
38005,i16,0x12,0,x1,2,1,0x20000172,
38006,u16,0x02,0,x1,2,1,0x20000174,
38007,u16,0x02,0,x1,2,1,0x20000176,
38008,u16,0x02,0,x1,2,1,0x20000178,
38009,u16,0x02,0,x1,2,1,0x2000017A,
38010,u16,0x02,0,x1,2,1,0x2000017C,
38011,u16,0x02,0,x1,2,1,0x2000017E,
38012,u16,0x02,0,x1,2,1,0x20000180,
38013,u16,0x02,0,x1,2,1,0x20000182,
38014,u16,0x02,0,x1,2,1,0x20000184,
