register,type,type_code,scale,scale_str,elem_size,count,source_ptr,notes
34118,u16,0x02,0,x1,2,16,0x20015028,
34200,u16,0x02,0,x1,2,1,0x20015068,Pack2
34201,u16,0x02,0,x1,2,1,0x2001506A,
34202,u16,0x02,0,x1,2,1,0x2001506C,
34203,i16,0x12,0,x1,2,1,0x2001506E,
34204,u8,0x01,0,x1,2,1,0x20015076,
34205,u16,0x02,0,x1,2,1,0x20015078,
34206,u16,0x02,0,x1,2,1,0x2001507A,
34207,i16,0x12,0,x1,2,1,0x20015080,
34208,u16,0x02,0,x1,2,1,0x20015082,
34209,u16,0x02,0,x1,2,1,0x20015084,
34210,u16,0x02,0,x1,2,1,0x20015086,
34211,u16,0x02,0,x1,2,1,0x200150B2,
34212,u16,0x02,0,x1,2,1,0x200150B4,
34213,u16,0x02,0,x1,2,4,0x200150A8,
34217,u16,0x02,0,x1,2,1,0x200150B6,
34218,u16,0x02,0,x1,2,16,0x20015088,
34300,u16,0x02,0,x1,2,1,0x200150C8,Pack3
34301,u16,0x02,0,x1,2,1,0x200150CA,
34302,u16,0x02,0,x1,2,1,0x200150CC,
34303,i16,0x12,0,x1,2,1,0x200150CE,
34304,u8,0x01,0,x1,2,1,0x200150D6,
34305,u16,0x02,0,x1,2,1,0x200150D8,
34306,u16,0x02,0,x1,2,1,0x200150DA,
34307,i16,0x12,0,x1,2,1,0x200150E0,
34308,u16,0x02,0,x1,2,1,0x200150E2,
34309,u16,0x02,0,x1,2,1,0x200150E4,
34310,u16,0x02,0,x1,2,1,0x200150E6,
34311,u16,0x02,0,x1,2,1,0x20015112,
34312,u16,0x02,0,x1,2,1,0x20015114,
34313,u16,0x02,0,x1,2,4,0x20015108,
34317,u16,0x02,0,x1,2,1,0x20015116,
34318,u16,0x02,0,x1,2,16,0x200150E8,
34400,u16,0x02,0,x1,2,1,0x20015128,Pack4
34401,u16,0x02,0,x1,2,1,0x2001512A,
34402,u16,0x02,0,x1,2,1,0x2001512C,
34403,i16,0x12,0,x1,2,1,0x2001512E,
34404,u8,0x01,0,x1,2,1,0x20015136,
34405,u16,0x02,0,x1,2,1,0x20015138,
34406,u16,0x02,0,x1,2,1,0x2001513A,
34407,i16,0x12,0,x1,2,1,0x20015140,
34408,u16,0x02,0,x1,2,1,0x20015142,
34409,u16,0x02,0,x1,2,1,0x20015144,
34410,u16,0x02,0,x1,2,1,0x20015146,
34411,u16,0x02,0,x1,2,1,0x20015172,
34412,u16,0x02,0,x1,2,1,0x20015174,
34413,u16,0x02,0,x1,2,4,0x20015168,
34417,u16,0x02,0,x1,2,1,0x20015176,
34418,u16,0x02,0,x1,2,16,0x20015148,
34500,u16,0x02,0,x1,2,1,0x20015188,Pack5
34501,u16,0x02,0,x1,2,1,0x2001518A,
34502,u16,0x02,0,x1,2,1,0x2001518C,
34503,i16,0x12,0,x1,2,1,0x2001518E,
34504,u8,0x01,0,x1,2,1,0x20015196,
34505,u16,0x02,0,x1,2,1,0x20015198,
34506,u16,0x02,0,x1,2,1,0x2001519A,
34507,i16,0x12,0,x1,2,1,0x200151A0,
34508,u16,0x02,0,x1,2,1,0x200151A2,
34509,u16,0x02,0,x1,2,1,0x200151A4,
34510,u16,0x02,0,x1,2,1,0x200151A6,
34511,u16,0x02,0,x1,2,1,0x200151D2,
34512,u16,0x02,0,x1,2,1,0x200151D4,
34513,u16,0x02,0,x1,2,4,0x200151C8,
34517,u16,0x02,0,x1,2,1,0x200151D6,
34518,u16,0x02,0,x1,2,16,0x200151A8,
34600,u16,0x02,0,x1,2,1,0x200151E8,Pack6
34601,u16,0x02,0,x1,2,1,0x200151EA,
34602,u16,0x02,0,x1,2,1,0x200151EC,
34603,i16,0x12,0,x1,2,1,0x200151EE,
34604,u8,0x01,0,x1,2,1,0x200151F6,
34605,u16,0x02,0,x1,2,1,0x200151F8,
34606,u16,0x02,0,x1,2,1,0x200151FA,
34607,i16,0x12,0,x1,2,1,0x20015200,
34608,u16,0x02,0,x1,2,1,0x20015202,
34609,u16,0x02,0,x1,2,1,0x20015204,
34610,u16,0x02,0,x1,2,1,0x20015206,
34611,u16,0x02,0,x1,2,1,0x20015232,
34612,u16,0x02,0,x1,2,1,0x20015234,
34613,u16,0x02,0,x1,2,4,0x20015228,
34617,u16,0x02,0,x1,2,1,0x20015236,
34618,u16,0x02,0,x1,2,16,0x20015208,
35000,i16,0x12,0,x1,2,1,0x20014EB0,env_temp (Alias zu 30002)
35001,i16,0x12,0,x1,2,1,0x20014EB2,radiator_temp (Alias zu 30003)
35002,i16,0x12,0,x1,2,1,0x20014EB2,gleiche Quelle wie 35001
35010,i16,0x12,0,x1,2,1,0x20014F86,
35011,i16,0x12,0,x1,2,1,0x20014FBE,
35100,u8,0x01,0,x1,2,1,0x20014E90,
35110,u16,0x02,0,x1,2,1,0x20014F92,
35111,u16,0x02,0,x1,2,1,0x20014F94,
35112,u16,0x02,0,x1,2,1,0x20014F96,
36000,u32,0x04,0,x1,4,1,0x20014E94,
36100,u32,0x04,0,x1,4,1,0x20014E98,error/fault bitmask (u32 = 2 Register)
36102,u32,0x04,0,x1,4,1,0x20014E9C,error/fault bitmask (u32 = 2 Register)
37000,u8,0x01,0,x1,2,1,0x20000133,
37001,u16,0x02,0,x1,2,1,0x2000014C,
37002,u16,0x02,0,x1,2,1,0x2000014E,max_charge_power (Status-Block +4)
37003,u16,0x02,0,x1,2,1,0x20000150,max_discharge_power (Status-Block +6)
37004,i16,0x12,0,x1,2,1,0x20014EA8,Alias zu 30006
37005,u16,0x02,3,/10,2,1,0x20014FAC,SOC Pack0 - hier MIT /10 (anders als 34002)
37006,i16,0x12,0,x1,2,1,0x20014FBC,
37007,u16,0x02,0,x1,2,1,0x20014FB8,
37008,u16,0x02,0,x1,2,1,0x20014FBA,
37009,u16,0x02,0,x1,2,2,0x20014FC0,2 Elemente (37009-37010)
37011,u16,0x02,0,x1,2,2,0x20014FC4,2 Elemente (37011-37012)
37013,u32,0x04,0,x1,4,1,0x20014E98,Alias zu 36100
37015,u32,0x04,0,x1,4,1,0x20014E9C,Alias zu 36102
37017,u16,0x02,0,x1,2,1,0x20014F4C,
37018,u16,0x02,0,x1,2,1,0x20014F52,
37019,u16,0x02,0,x1,2,1,0x20014F58,
37020,u16,0x02,0,x1,2,1,0x20014F5E,
37021,u32,0x04,0,x1,4,1,0x20014F6C,
37023,u16,0x02,0,x1,2,1,0x20014F42,
37024,u16,0x02,0,x1,2,1,0x20014F46,
38000,i16,0x12,0,x1,2,1,0x20000168,Block 38000-38014 existiert bereits in v149.2
38001,u16,0x02,0,x1,2,1,0x2000016A,
38002,i16,0x12,0,x1,2,1,0x2000016C,
38003,u16,0x02,0,x1,2,1,0x2000016E,
38004,u16,0x02,0,x1,2,1,0x20000170,
38005,i16,0x12,0,x1,2,1,0x20000172,
38006,u16,0x02,0,x1,2,1,0x20000174,
38007,u16,0x02,0,x1,2,1,0x20000176,
38008,u16,0x02,0,x1,2,1,0x20000178,
38009,u16,0x02,0,x1,2,1,0x2000017A,
38010,u16,0x02,0,x1,2,1,0x2000017C,
38011,u16,0x02,0,x1,2,1,0x2000017E,
38012,u16,0x02,0,x1,2,1,0x20000180,
38013,u16,0x02,0,x1,2,1,0x20000182,
38014,u16,0x02,0,x1,2,1,0x20000184,
