register,name,alt_name,einheit,quelle,typ,type_code,fw_scale,fw_scale_code,anzeige_faktor,elem_size,count,belegt_regs,teil_von,source_ptr_v150,konfidenz,beispiel_entladen,beispiel_laden,v_entladen,v_laden,v_ref_v150,v_dc_entladen,v_backup,v_unter_dod,v_laden_6pack,v_bat_ab,v_boot,min_all,max_all,n_werte,n_logs,notiz
30035,inv_boundary_20014F8C,,,FC03-Read (Descriptor),i16,0x12,x1,0,,2,1,1,,0x20014F8C,niedrig,,,0,0,0,0,0,0,0,0,0,0,0,1440,27,"0x20014F8C, Grenze Inverter-Struct/BMS-Aggregat. Befuellt via Modbus_StorePairSlot (CAN fc 0xff, Slot 2)"
30036,inv_base_voltage,hardware_version,V,FC03-Read (Descriptor),u16,0x02,x1,0,0.01,2,1,1,,0x20014F80,mittel,2.19 V,2.19 V,219,219,219,219,219,219,219,,,0,219,1321,21,Inverter-Struct +0x34 'base_vol_0.01V' (interne/PE-Referenz). Live 219=2.19V
30037,mppt1_power,mppt1_power,W,FC03-Read (Descriptor),u16,0x02,x1,0,0.1,2,1,1,,0x20014F58,hoch,0 W,0 W,0,0,0,0,0,0,0,,,0,0,1320,21,"MPPT-Struct Feld +4 / Alias 37017. Firmware-benannt: MPPT_Debug_Print @0x08036884, String 'PV1_Vol(0.1V)=%d|Cur(0.1A)=%d|Pow(0.1W)='"
30038,mppt2_power,mppt2_power,W,FC03-Read (Descriptor),u16,0x02,x1,0,0.1,2,1,1,,0x20014F5E,hoch,0 W,0 W,0,0,0,0,0,0,0,,,0,0,1320,21,"MPPT-Struct Feld +4 / Alias 37018. Firmware-benannt: MPPT_Debug_Print @0x08036884, String 'PV2_Vol(0.1V)=%d|Cur(0.1A)=%d|Pow(0.1W)='"
30039,mppt3_power,mppt3_power,W,FC03-Read (Descriptor),u16,0x02,x1,0,0.1,2,1,1,,0x20014F64,hoch,0 W,0 W,0,0,0,0,0,0,0,,,0,0,1320,21,"MPPT-Struct Feld +4 / Alias 37019. Firmware-benannt: MPPT_Debug_Print @0x08036884, String 'PV3_Vol(0.1V)=%d|Cur(0.1A)=%d|Pow(0.1W)='"
30040,mppt4_power,mppt4_power,W,FC03-Read (Descriptor),u16,0x02,x1,0,0.1,2,1,1,,0x20014F6A,hoch,0 W,0 W,0,0,0,0,0,0,0,,,0,0,1320,21,"MPPT-Struct Feld +4 / Alias 37020. Firmware-benannt: MPPT_Debug_Print @0x08036884, String 'PV4_Vol(0.1V)=%d|Cur(0.1A)=%d|Pow(0.1W)='"
30100,pack1_bat_volt_mirror,battery_voltage,V,FC03-Read (Descriptor),u16,0x02,x1,0,0.01,2,1,1,,0x20014FB4,mittel,52.69 V,53.42 V,5269,5342,5326,5330,5250,5081,5341,,,0,65534,1324,21,identische Quelle wie 34000 (Pack0-Struct +0x00)
30101,pack1_bat_curr_mirror,pack1_current_mirror,A,FC03-Read (Descriptor),i16,0x12,x1,0,0.1,2,1,1,,0x20014FB6,hoch,0 A,0 A,0,0,0,0,0,65535,0,0,0,0,65535,1441,27,"identische Quelle wie 34001 (Pack0-Struct +0x02). KORREKTUR 2026-08-22 (Lasttest 600 W): Register ist NICHT unbelegt. Der Venus D entlaedt immer nur EIN Pack - bms_active_pack_index (32111) stand auf 4. Im Doppelscan Leerlauf/600 W bewegte sich ausschliesslich Pack 4: 34301 -3 -> -122 (= -12,2 A bei 0,1 A), 34300 5250 -> 5195, Zellen -34 mV. Packs 1,2,3,5,6 blieben exakt stehen. Eine 0 in einem Pack-Stromregister bedeutet 'Pack inaktiv', nicht 'Register tot'. Gilt sinngemaess fuer 34x01 aller Packs. Kein Skalencode, daher vom Read_Serializer-Vorzeichenfehler NICHT betroffen - verwendbarer Ersatz fuer 32101 (bms_battery_current). Da immer nur ein Pack entlaedt, liefert die Summe aller 34x01 den Strom, den die Firmware intern nutzt. Siehe FW_Bug_Read_Serializer_Vorzeichen_2026-08-22.md"
30102,pack1_max_cell_voltage_mirror,pack1_cell_v_max_mirror,V,FC03-Read (Descriptor),u16,0x02,x1,0,0.001,2,1,1,,0x20014FC4,mittel,,,,,3330,,3282,3178,3339,,,0,3584,1224,15,"identische Quelle wie 34005/37007 (Pack0-Struct +0x10), Rohwert mV"
30103,pack1_min_cell_voltage_mirror,pack1_cell_v_min_mirror,V,FC03-Read (Descriptor),u16,0x02,x1,0,0.001,2,1,1,,0x20014FC6,mittel,,,,,3328,,3280,3174,3337,,,3016,3436,1224,15,"identische Quelle wie 34006/37008 (Pack0-Struct +0x12), Rohwert mV"
30104,pack1_max_cell_temp,max_cell_temp_hp,°C,FC03-Read (Descriptor),i16,0x12,x10,1,0.01,2,1,1,,0x20014FC8,mittel,,,,,2600,,2520,3060,3230,,,2260,3400,1224,15,"Pack1-Struct +0x14 (direkt nach min_cell_voltage). FW multipliziert x10 -> Anzeige 0.01 degC. Uebereinstimmend: alte Live-Map 'max_cell_temp_hp', Read-Handler-Map, BLE-DevelopMode. Alias 37006"
30105,pack1_min_cell_temp,cell_temp_hp_2,°C,FC03-Read (Descriptor),i16,0x12,x10,1,0.01,2,1,1,,0x20014FCA,mittel,,,,,2580,,2500,2920,3080,,,2210,3270,1224,15,"Pack1-Struct +0x16. FW multipliziert x10 -> Anzeige 0.01 degC. Uebereinstimmend: alte Live-Map 'cell_temp_hp_2', Read-Handler-Map '35011=min_cell_temperature'. Alias 35011"
30106,pack1_temp_3_mirror,,°C,FC03-Read (Descriptor),u16,0x02,x1,0,0.1,2,1,1,,0x20015002,niedrig,0 °C,0 °C,0,0,0,0,0,0,0,0,0,0,5330,1443,27,"Alias 34017 (Pack1-Struct +0x4e), Live meist 0"
30107,pack1_temp_1_mirror,pack1_ntc0_mirror,°C,FC03-Read (Descriptor),i16,0x12,x1,0,0.1,2,1,1,,0x20014FFE,hoch,,,,,324,,333,359,364,,,0,418,1224,15,"Alias 34011 (Pack1-Struct +0x4a), Live bestaetigt"
30108,pack1_temp_2_mirror,pack1_ntc1_mirror,°C,FC03-Read (Descriptor),i16,0x12,x1,0,0.1,2,1,1,,0x20015000,hoch,,,,,268,,311,364,310,,,224,560,1224,15,"Alias 34012 (Pack1-Struct +0x4c), Live bestaetigt"
30109,bms_factory_test,,,FC03-Read (Descriptor),u8,0x01,x1,0,,2,1,1,,0x20014FAC,mittel,,,0,0,0,0,0,0,0,0,0,0,332,1443,27,Alias 32113 (CAN factory_test)
30110,config_setpoint_mirror,,,FC03-Read (Descriptor),u8,0x01,x1,0,,2,1,1,,0x20014FAF,niedrig,,,0,0,0,0,0,0,0,0,0,0,100,1443,27,"Alias 32114 (0x20014FAF): vom Write-Handler beschriebener Config-Setpoint, kein Sensor"
30200,ems_ver,ems_version,,FC03-Read (Descriptor),u16,0x02,x1,0,,2,1,1,,0x08010000,hoch,,,,,150,,147,147,1492,,,0,1492,1223,15,Control-App-Version. Versions-Debug-Print (0x08036F40) gibt Konstante 0x96=150 aus / Register liest FLASH 0x08010000 (App-Header)
30201,ems_boot_ver,unknown_30201,,FC03-Read (Descriptor),u8,0x01,x1,0,,2,1,1,,0x20000038,hoch,,,18,18,18,0,18,18,18,,,0,65534,1322,21,"KORREKTUR: 0x20000038 ist 'boot_ver' des EMS/Control (Bootloader), NICHT ems_sub_version. Beleg: Versions-Debug-Print 0x08036F52"
30202,vns_ver,vns_version,,FC03-Read (Descriptor),u16,0x02,x1,0,,2,1,1,,0x2000015E,hoch,,,,,116,,115,115,115,,,115,116,1222,15,"VNS (Micro-Inverter) Softwareversion. Belege: Versions-Debug-Print 'vns_ver' (0x08036F90) + Inverter_Telemetry_Debug_Print 'soft_ver'. Writer Telemetry_Store_RegCB (CAN 0xCB), Block 0x2000015C"
30203,vns_boot_ver,unknown_30203,,FC03-Read (Descriptor),u16,0x02,x1,0,,2,1,1,,0x20000160,hoch,,,106,106,106,18,106,106,106,,,18,5273,1322,21,"VNS (Micro-Inverter) Bootloader-Version. Block 0x2000015C+4, Writer Telemetry_Store_RegCB (CAN 0xCB). Inverter_Telemetry_Debug_Print 'boot_ver'"
30204,bms_ver,bms_version,,FC03-Read (Descriptor),u16,0x02,x1,0,,2,1,1,,0x20014FD2,hoch,,,,,118,,116,116,116,,,116,1177,1222,15,BMS-Version. Versions-Debug-Print 'bms_ver' liest 0x20014FB0+0x22 = 0x20014FD2 = Pack0-Struct +0x1e. Alias 34010/37012
30205,mppt_ver,mppt_version,,FC03-Read (Descriptor),u16,0x02,x1,0,,2,1,1,,0x20000188,hoch,,,,,104,,104,104,104,,,104,104,1222,15,"KORREKTUR: 0x20000188 ist die MPPT-Firmware-Version, NICHT bms_sub_version. Versions-Debug-Print 0x08036F6A liest 0x20000188|0x20000189<<8 als 'mppt_ver(new)' (u16) / 'mppt_ver(old)' = nur 0x20000188 (u8)"
30210,pack1_mos_status_mirror,active_pack_charge_status,,FC03-Read (Descriptor),u8,0x01,x1,0,,2,1,1,,0x20014FC2,mittel,,,0,0,0,106,0,3,0,,,0,106,1322,21,"Alias 34004, Live 0..3 = 2 MOSFET-Flags"
30211,config_byte_can54,,,FC03-Read (Descriptor),u8,0x01,x1,0,,2,1,1,,0x20000165,niedrig,,,0,0,0,0,0,0,0,0,0,0,0,1438,27,0x20000165. Writer: Config_PostWriteCommit + Telemetry_Store_Reg54 (CAN-ID 0x54) -> per CAN setzbarer Konfigurationswert
30212,pack_config,pack_config,,FC03-Read (Descriptor),u8,0x01,x1,0,,2,1,1,,0x20000138,niedrig,,,5,5,5,5,5,5,5,5,5,0,5,1438,27,Kern-Global 0x20000138. Name aus alter Live-Map ('pack_config') / keine aufgeloesten Writer/Reader in v150
30213,config_byte_canc1,,,FC03-Read (Descriptor),u8,0x01,x1,0,,2,1,1,,0x20000164,niedrig,,,0,0,0,0,0,0,0,0,0,0,0,1436,27,0x20000164. Writer: Config_Counters_Reset + Telemetry_Store_RegC1 (CAN-ID 0xC1) -> per CAN setzbarer Konfigurationswert
30214,bms_self_check,,,FC03-Read (Descriptor),u8,0x01,x1,0,,2,1,1,,0x20014FAE,mittel,,,0,0,0,0,0,0,0,0,0,0,0,1436,27,CAN Status-Byte pgn_1007 'self_check' (+0x20)
30300,wifi_status,wifi_status,,FC03-Read (Descriptor),u8,0x01,x1,0,,2,1,1,,0x20001F4C,mittel,,,1,1,1,0,1,1,1,,,0,1,1323,21,
30301,bluetooth_status,active_inverter_state,,FC03-Read (Descriptor),u8,0x01,x1,0,,2,1,1,,0x20018B5C,mittel,,,1,1,1,0,3,3,3,,,0,3,1366,24,
30302,cloud_status,cloud_status,,FC03-Read (Descriptor),u8,0x01,x1,0,,2,1,1,,0x2001916D,mittel,,,1,1,0,5,0,0,0,,,0,5,1321,21,"MQTT-Verbindungsstatus, nicht HTTP-Upload. Schreiber ausschliesslich MQTT_Connect_And_Subscribe (0x08018698, 2x), Quectel_MQTT_Connect (0x0800E7C8, 2x), Quectel_Modem_HardwareReset_Handler, WiFi_Set_Credentials; keine Upload-Funktion schreibt hier. Feldtest 2026-08-25: bleibt 0, waehrend der HTTP-Telemetrie-Upload an einen lokalen Endpunkt erfolgreich laeuft. Leser u.a. MQTT_Telemetry_Struct_Builder -> Wert steht vermutlich als 'mq' im Upload-Payload (unbestaetigt, beide Werte derzeit 0)."
30303,wifi_signal_strength,wifi_signal_strength,dBm,FC03-Read (Descriptor),u8,0x01,x1,0,,2,1,1,,0x20001F4D,mittel,,,58,54,54,0,52,47,54,,,0,69,1321,21,Wert positiv / Vorzeichen NICHT von FW gesetzt (scale=0)
30304,mac_address,mac_address,,FC03-Read (Descriptor),ascii,0x31,x1,0,,1,12,6,,0x2001894E,hoch,,,,,13880,,13880,13880,13880,,,13880,13880,1223,15,ASCII 12 Byte -> Register 30304-30309
30305,mac_address[2],mac_address_2,,FC03-Read (Descriptor),ascii,0x31,x1,0,,1,12,6,30304,,hoch,,,,,12852,,12852,12852,12852,,,12852,12852,1223,15,Folgeregister 2/6 von 30304
30306,mac_address[3],mac_address_3,,FC03-Read (Descriptor),ascii,0x31,x1,0,,1,12,6,30304,,hoch,,,,,14649,,14649,14649,14649,,,14649,14649,1223,15,Folgeregister 3/6 von 30304
30307,mac_address[4],mac_address_4,,FC03-Read (Descriptor),ascii,0x31,x1,0,,1,12,6,30304,,hoch,,,,,17733,,17733,17733,17733,,,17733,17733,1223,15,Folgeregister 4/6 von 30304
30308,mac_address[5],mac_address_5,,FC03-Read (Descriptor),ascii,0x31,x1,0,,1,12,6,30304,,hoch,,,,,17975,,17975,17975,17975,,,17975,17975,1223,15,Folgeregister 5/6 von 30304
30309,mac_address[6],mac_address_6,,FC03-Read (Descriptor),ascii,0x31,x1,0,,1,12,6,30304,,hoch,,,,,13635,,13635,13635,13635,,,13635,13635,1223,15,Folgeregister 6/6 von 30304
30350,comm_module_firmware,comm_module_firmware,,FC03-Read (Descriptor),u8,0x01,x1,0,,1,12,6,,0x200180F0,hoch,,,,,,,12848,12848,12848,,,12848,12848,1223,15,12 Byte -> Register 30350-30355
30351,comm_module_firmware[2],comm_module_fw_2,,FC03-Read (Descriptor),u8,0x01,x1,0,,1,12,6,30350,,hoch,,,,,,,12852,12852,12852,,,12852,12852,1223,15,Folgeregister 2/6 von 30350
30352,comm_module_firmware[3],comm_module_fw_3,,FC03-Read (Descriptor),u8,0x01,x1,0,,1,12,6,30350,,hoch,,,,,12852,,12345,12345,12345,,,12345,12852,1224,16,Folgeregister 3/6 von 30350
30353,comm_module_firmware[4],comm_module_fw_4,,FC03-Read (Descriptor),u8,0x01,x1,0,,1,12,6,30350,,hoch,,,,,,,12345,12345,12345,,,12345,12345,1223,15,Folgeregister 4/6 von 30350
30354,comm_module_firmware[5],comm_module_fw_5,,FC03-Read (Descriptor),u8,0x01,x1,0,,1,12,6,30350,,hoch,,,,,,,12337,12337,12337,,,12337,12337,1223,15,Folgeregister 5/6 von 30350
30355,comm_module_firmware[6],comm_module_fw_6,,FC03-Read (Descriptor),u8,0x01,x1,0,,1,12,6,30350,,hoch,,,,,,,13625,13625,13625,,,13625,13625,1223,15,Folgeregister 6/6 von 30350
30400,ip_addresses,ip_address,,FC03-Read (Descriptor),u8,0x01,x1,0,,1,8,4,,0x2001ADC5,hoch,,,49320,49320,49320,1,49320,49320,49320,,,1,49320,1323,21,8 Byte -> Register 30400-30403
30401,ip_addresses[2],,,FC03-Read (Descriptor),u8,0x01,x1,0,,1,8,4,30400,,hoch,,,,,46490,,46490,46490,46490,,,46490,46490,1223,15,Folgeregister 2/4 von 30400
30402,ip_addresses[3],,,FC03-Read (Descriptor),u8,0x01,x1,0,,1,8,4,30400,,hoch,,,,,49320,,49320,49320,49320,,,49320,49320,1223,15,Folgeregister 3/4 von 30400
30403,ip_addresses[4],,,FC03-Read (Descriptor),u8,0x01,x1,0,,1,8,4,30400,,hoch,,,,,46337,,46337,46337,46337,,,46337,46337,1223,15,Folgeregister 4/4 von 30400
31000,device_name,device_name,,FC03-Read (Descriptor),u8,0x01,x1,0,,1,20,10,,0x20014CE0,hoch,,,,,22094,,22094,22094,22094,,,22094,22094,1223,15,20 Byte -> Register 31000-31009
31001,device_name[2],device_name_2,,FC03-Read (Descriptor),u8,0x01,x1,0,,1,20,10,31000,,hoch,,,,,21316,,21316,21316,21316,,,21316,21316,1223,15,Folgeregister 2/10 von 31000
31002,device_name[3],device_name_3,,FC03-Read (Descriptor),u8,0x01,x1,0,,1,20,10,31000,,hoch,,,,,11568,,11568,11568,11568,,,11568,11568,1223,15,Folgeregister 3/10 von 31000
31003,device_name[4],pack_dependent_31003,,FC03-Read (Descriptor),u8,0x01,x1,0,,1,20,10,31000,,hoch,,,5,5,0,49320,5,5,5,5,5,0,49320,1441,27,Folgeregister 4/10 von 31000
31004,device_name[5],pack_dependent_31004,,FC03-Read (Descriptor),u8,0x01,x1,0,,1,20,10,31000,,hoch,,,1543,1543,0,1543,1543,1543,1543,1543,1543,0,1543,1437,27,Folgeregister 5/10 von 31000
31005,device_name[6],unknown_31005,,FC03-Read (Descriptor),u8,0x01,x1,0,,1,20,10,31000,,hoch,,,0,0,0,0,0,0,0,0,0,0,0,1437,27,Folgeregister 6/10 von 31000
31006,device_name[7],unknown_31006,,FC03-Read (Descriptor),u8,0x01,x1,0,,1,20,10,31000,,hoch,,,0,0,0,0,0,0,0,0,0,0,0,1437,27,Folgeregister 7/10 von 31000
31007,device_name[8],unknown_31007,,FC03-Read (Descriptor),u8,0x01,x1,0,,1,20,10,31000,,hoch,,,0,0,0,0,0,0,0,0,0,0,0,1438,27,Folgeregister 8/10 von 31000
31008,device_name[9],unknown_31008,,FC03-Read (Descriptor),u8,0x01,x1,0,,1,20,10,31000,,hoch,,,0,0,0,0,0,0,0,0,0,0,0,1438,27,Folgeregister 9/10 von 31000
31009,device_name[10],unknown_31009,,FC03-Read (Descriptor),u8,0x01,x1,0,,1,20,10,31000,,hoch,,,0,0,0,0,0,0,0,0,0,0,0,1438,27,Folgeregister 10/10 von 31000
32100,bms_battery_voltage,dc_voltage,V,FC03-Read (Descriptor),u16,0x02,x1,0,0.01,2,1,1,,0x20014F8E,hoch,53.1 V,54.49 V,5310,5449,5372,5,,,,,,0,5455,119,8,CAN-Aggregat-Struct 0x20014F8E+0x00 pgn_1801 'bat_volt(10mV)'. EINHEIT 10mV (nicht 0.1V). Live 5372=53.72V. Geht als Faktor in das berechnete BLE-Feld 'Battery Power' ein: bms[+0x00] * 0.01 V (FUN_0800b024). Siehe BLE_vs_Modbus_Leistungswerte_2026-08-22.md
