Register,Name,Description,DataType,Scale,ScaleCode,Unit,ElementCount,Source,Notes
34029,pack1_cell_12_voltage,Pack 1 cell 12 voltage,i16,÷1000,0,V,1,FW-verified,"Scale 0.001; BLE: BMSData cellVoltages[11] (u16 at 0x46, /1000)"
34030,pack1_cell_13_voltage,Pack 1 cell 13 voltage,i16,÷1000,0,V,1,FW-verified,"Scale 0.001; BLE: BMSData cellVoltages[12] (u16 at 0x48, /1000)"
34031,pack1_cell_14_voltage,Pack 1 cell 14 voltage,i16,÷1000,0,V,1,FW-verified,"Scale 0.001; D/E model (16 cells); BLE: BMSData cellVoltages[13] (u16 at 0x4A, /1000)"
34032,pack1_cell_15_voltage,Pack 1 cell 15 voltage,i16,÷1000,0,V,1,FW-verified,"Scale 0.001; D/E model (16 cells); BLE: BMSData cellVoltages[14] (u16 at 0x4C, /1000)"
34033,pack1_cell_16_voltage,Pack 1 cell 16 voltage,i16,÷1000,0,V,1,FW-verified,"Scale 0.001; D/E model (16 cells); BLE: BMSData cellVoltages[15] (u16 at 0x4E, /1000)"
34100,pack2_voltage,Battery pack 2 voltage,u16,÷100,4,V,1,FW-verified,"Pack-pattern +100"
34101,pack2_current,Battery pack 2 current,i16,÷10,3,A,1,FW-verified,"Pack-pattern +100"
34102,pack2_soc,Battery pack 2 SOC,u16,÷10,3,%,1,FW-verified,"Scale 0.1"
34103,pack2_cycle_count,Battery pack 2 cycle count,u16,×1,0,-,1,FW-verified,""
34104,pack2_max_cell_voltage,Pack 2 max cell voltage,u16,÷1000,0,V,1,FW-verified,""
34105,pack2_unknown_34105,Pack 2 unknown,u16,÷1000,0,V,1,FW-verified,""
34106,pack2_min_cell_voltage,Pack 2 min cell voltage,u16,÷1000,0,V,1,FW-verified,""
34107,pack2_max_ntc,Pack 2 max NTC temperature,i16,÷10,3,°C,1,FW-verified,""
34108,pack2_protect1,Pack 2 protection flags 1,u16,×1,0,bitmask,1,FW-verified,""
34109,pack2_protect2,Pack 2 protection flags 2,u16,×1,0,bitmask,1,FW-verified,""
34110,pack2_bms_version,Pack 2 BMS firmware version,u16,×1,0,-,1,FW-verified,""
34111,pack2_cell_ntc_0,Pack 2 cell NTC sensor 0,i16,÷10,3,°C,1,FW-verified,""
34112,pack2_cell_ntc_1,Pack 2 cell NTC sensor 1,i16,÷10,3,°C,1,FW-verified,""
34113,pack2_cell_ntc_2,Pack 2 cell NTC sensor 2,i16,÷10,3,°C,1,FW-verified,""
34114,pack2_cell_ntc_3,Pack 2 cell NTC sensor 3,i16,÷10,3,°C,1,FW-verified,""
34115,pack2_mos_ntc,Pack 2 MOSFET NTC temperature,i16,÷10,3,°C,1,FW-verified,""
34116,pack2_env_ntc,Pack 2 environment NTC temperature,i16,÷10,3,°C,1,FW-verified,""
34117,pack2_avg_ntc,Pack 2 average NTC temperature,i16,÷10,3,°C,1,FW-verified,""
34118,pack2_cell_1_voltage,Pack 2 cell 1 voltage,i16,÷1000,0,V,1,FW-verified,""
34119,pack2_cell_2_voltage,Pack 2 cell 2 voltage,i16,÷1000,0,V,1,FW-verified,""
34120,pack2_cell_3_voltage,Pack 2 cell 3 voltage,i16,÷1000,0,V,1,FW-verified,""
34121,pack2_cell_4_voltage,Pack 2 cell 4 voltage,i16,÷1000,0,V,1,FW-verified,""
34122,pack2_cell_5_voltage,Pack 2 cell 5 voltage,i16,÷1000,0,V,1,FW-verified,""
34123,pack2_cell_6_voltage,Pack 2 cell 6 voltage,i16,÷1000,0,V,1,FW-verified,""
34124,pack2_cell_7_voltage,Pack 2 cell 7 voltage,i16,÷1000,0,V,1,FW-verified,""
34125,pack2_cell_8_voltage,Pack 2 cell 8 voltage,i16,÷1000,0,V,1,FW-verified,""
34126,pack2_cell_9_voltage,Pack 2 cell 9 voltage,i16,÷1000,0,V,1,FW-verified,""
34127,pack2_cell_10_voltage,Pack 2 cell 10 voltage,i16,÷1000,0,V,1,FW-verified,""
34128,pack2_cell_11_voltage,Pack 2 cell 11 voltage,i16,÷1000,0,V,1,FW-verified,""
34129,pack2_cell_12_voltage,Pack 2 cell 12 voltage,i16,÷1000,0,V,1,FW-verified,""
34130,pack2_cell_13_voltage,Pack 2 cell 13 voltage,i16,÷1000,0,V,1,FW-verified,""
34131,pack2_cell_14_voltage,Pack 2 cell 14 voltage,i16,÷1000,0,V,1,FW-verified,""
34132,pack2_cell_15_voltage,Pack 2 cell 15 voltage,i16,÷1000,0,V,1,FW-verified,""
34133,pack2_cell_16_voltage,Pack 2 cell 16 voltage,i16,÷1000,0,V,1,FW-verified,""
34200,pack3_voltage,Battery pack 3 voltage,u16,÷100,4,V,1,pack-pattern,"Pack 3 (nur bei Multi-Pack-Konfiguration)"
34201,pack3_current,Battery pack 3 current,i16,÷10,3,A,1,pack-pattern,""
34202,pack3_soc,Battery pack 3 SOC,u16,÷10,3,%,1,pack-pattern,""
34203,pack3_cycle_count,Battery pack 3 cycle count,u16,×1,0,-,1,pack-pattern,""
34204,pack3_max_cell_voltage,Pack 3 max cell voltage,u16,÷1000,0,V,1,pack-pattern,""
34205,pack3_unknown,Pack 3 unknown,u16,÷1000,0,V,1,pack-pattern,""
34206,pack3_min_cell_voltage,Pack 3 min cell voltage,u16,÷1000,0,V,1,pack-pattern,""
34207,pack3_max_ntc,Pack 3 max NTC,i16,÷10,3,°C,1,pack-pattern,""
34208,pack3_protect1,Pack 3 protection flags 1,u16,×1,0,bitmask,1,pack-pattern,""
34209,pack3_protect2,Pack 3 protection flags 2,u16,×1,0,bitmask,1,pack-pattern,""
34210,pack3_bms_version,Pack 3 BMS version,u16,×1,0,-,1,pack-pattern,""
34211,pack3_cell_ntc_0,Pack 3 cell NTC 0,i16,÷10,3,°C,1,pack-pattern,""
34212,pack3_cell_ntc_1,Pack 3 cell NTC 1,i16,÷10,3,°C,1,pack-pattern,""
34213,pack3_cell_ntc_2,Pack 3 cell NTC 2,i16,÷10,3,°C,1,pack-pattern,""
34214,pack3_cell_ntc_3,Pack 3 cell NTC 3,i16,÷10,3,°C,1,pack-pattern,""
34215,pack3_mos_ntc,Pack 3 MOSFET NTC,i16,÷10,3,°C,1,pack-pattern,""
34216,pack3_env_ntc,Pack 3 environment NTC,i16,÷10,3,°C,1,pack-pattern,""
34217,pack3_avg_ntc,Pack 3 average NTC,i16,÷10,3,°C,1,pack-pattern,""
34218,pack3_cell_1_voltage,Pack 3 cell 1 voltage,i16,÷1000,0,V,16,pack-pattern,"34218-34233 (16 cells)"
34300,pack4_voltage,Battery pack 4 voltage,u16,÷100,4,V,1,pack-pattern,"Pack 4"
34301,pack4_current,Battery pack 4 current,i16,÷10,3,A,1,pack-pattern,""
34302,pack4_soc,Battery pack 4 SOC,u16,÷10,3,%,1,pack-pattern,""
34303,pack4_cycle_count,Battery pack 4 cycle count,u16,×1,0,-,1,pack-pattern,""
34304,pack4_max_cell_voltage,Pack 4 max cell voltage,u16,÷1000,0,V,1,pack-pattern,""
34305,pack4_unknown,Pack 4 unknown,u16,÷1000,0,V,1,pack-pattern,""
34306,pack4_min_cell_voltage,Pack 4 min cell voltage,u16,÷1000,0,V,1,pack-pattern,""
34307,pack4_max_ntc,Pack 4 max NTC,i16,÷10,3,°C,1,pack-pattern,""
34308,pack4_protect1,Pack 4 protection flags 1,u16,×1,0,bitmask,1,pack-pattern,""
34309,pack4_protect2,Pack 4 protection flags 2,u16,×1,0,bitmask,1,pack-pattern,""
34310,pack4_bms_version,Pack 4 BMS version,u16,×1,0,-,1,pack-pattern,""
34311,pack4_cell_ntc_0,Pack 4 cell NTC 0,i16,÷10,3,°C,1,pack-pattern,""
34312,pack4_cell_ntc_1,Pack 4 cell NTC 1,i16,÷10,3,°C,1,pack-pattern,""
34313,pack4_cell_ntc_2,Pack 4 cell NTC 2,i16,÷10,3,°C,1,pack-pattern,""
34314,pack4_cell_ntc_3,Pack 4 cell NTC 3,i16,÷10,3,°C,1,pack-pattern,""
34315,pack4_mos_ntc,Pack 4 MOSFET NTC,i16,÷10,3,°C,1,pack-pattern,""
34316,pack4_env_ntc,Pack 4 environment NTC,i16,÷10,3,°C,1,pack-pattern,""
34317,pack4_avg_ntc,Pack 4 average NTC,i16,÷10,3,°C,1,pack-pattern,""
34318,pack4_cell_1_voltage,Pack 4 cell 1 voltage,i16,÷1000,0,V,16,pack-pattern,"34318-34333 (16 cells)"
34400,pack5_voltage,Battery pack 5 voltage,u16,÷100,4,V,1,pack-pattern,"Pack 5"
34401,pack5_current,Battery pack 5 current,i16,÷10,3,A,1,pack-pattern,""
34402,pack5_soc,Battery pack 5 SOC,u16,÷10,3,%,1,pack-pattern,""
34403,pack5_cycle_count,Battery pack 5 cycle count,u16,×1,0,-,1,pack-pattern,""
34404,pack5_max_cell_voltage,Pack 5 max cell voltage,u16,÷1000,0,V,1,pack-pattern,""
34405,pack5_unknown,Pack 5 unknown,u16,÷1000,0,V,1,pack-pattern,""
34406,pack5_min_cell_voltage,Pack 5 min cell voltage,u16,÷1000,0,V,1,pack-pattern,""
34407,pack5_max_ntc,Pack 5 max NTC,i16,÷10,3,°C,1,pack-pattern,""
34408,pack5_protect1,Pack 5 protection flags 1,u16,×1,0,bitmask,1,pack-pattern,""
34409,pack5_protect2,Pack 5 protection flags 2,u16,×1,0,bitmask,1,pack-pattern,""
34410,pack5_bms_version,Pack 5 BMS version,u16,×1,0,-,1,pack-pattern,""
34411,pack5_cell_ntc_0,Pack 5 cell NTC 0,i16,÷10,3,°C,1,pack-pattern,""
34412,pack5_cell_ntc_1,Pack 5 cell NTC 1,i16,÷10,3,°C,1,pack-pattern,""
34413,pack5_cell_ntc_2,Pack 5 cell NTC 2,i16,÷10,3,°C,1,pack-pattern,""
34414,pack5_cell_ntc_3,Pack 5 cell NTC 3,i16,÷10,3,°C,1,pack-pattern,""
34415,pack5_mos_ntc,Pack 5 MOSFET NTC,i16,÷10,3,°C,1,pack-pattern,""
34416,pack5_env_ntc,Pack 5 environment NTC,i16,÷10,3,°C,1,pack-pattern,""
34417,pack5_avg_ntc,Pack 5 average NTC,i16,÷10,3,°C,1,pack-pattern,""
34418,pack5_cell_1_voltage,Pack 5 cell 1 voltage,i16,÷1000,0,V,16,pack-pattern,"34418-34433 (16 cells)"
34500,pack6_voltage,Battery pack 6 voltage,u16,÷100,4,V,1,pack-pattern,"Pack 6"
34501,pack6_current,Battery pack 6 current,i16,÷10,3,A,1,pack-pattern,""
34502,pack6_soc,Battery pack 6 SOC,u16,÷10,3,%,1,pack-pattern,""
34503,pack6_cycle_count,Battery pack 6 cycle count,u16,×1,0,-,1,pack-pattern,""
34504,pack6_max_cell_voltage,Pack 6 max cell voltage,u16,÷1000,0,V,1,pack-pattern,""
34505,pack6_unknown,Pack 6 unknown,u16,÷1000,0,V,1,pack-pattern,""
34506,pack6_min_cell_voltage,Pack 6 min cell voltage,u16,÷1000,0,V,1,pack-pattern,""
34507,pack6_max_ntc,Pack 6 max NTC,i16,÷10,3,°C,1,pack-pattern,""
34508,pack6_protect1,Pack 6 protection flags 1,u16,×1,0,bitmask,1,pack-pattern,""
34509,pack6_protect2,Pack 6 protection flags 2,u16,×1,0,bitmask,1,pack-pattern,""
34510,pack6_bms_version,Pack 6 BMS version,u16,×1,0,-,1,pack-pattern,""
34511,pack6_cell_ntc_0,Pack 6 cell NTC 0,i16,÷10,3,°C,1,pack-pattern,""
34512,pack6_cell_ntc_1,Pack 6 cell NTC 1,i16,÷10,3,°C,1,pack-pattern,""
34513,pack6_cell_ntc_2,Pack 6 cell NTC 2,i16,÷10,3,°C,1,pack-pattern,""
34514,pack6_cell_ntc_3,Pack 6 cell NTC 3,i16,÷10,3,°C,1,pack-pattern,""
34515,pack6_mos_ntc,Pack 6 MOSFET NTC,i16,÷10,3,°C,1,pack-pattern,""
34516,pack6_env_ntc,Pack 6 environment NTC,i16,÷10,3,°C,1,pack-pattern,""
34517,pack6_avg_ntc,Pack 6 average NTC,i16,÷10,3,°C,1,pack-pattern,""
34518,pack6_cell_1_voltage,Pack 6 cell 1 voltage,i16,÷1000,0,V,16,pack-pattern,"34518-34533 (16 cells)"
34600,pack7_voltage,Battery pack 7 voltage,u16,÷100,4,V,1,pack-pattern,"Pack 7"
34601,pack7_current,Battery pack 7 current,i16,÷10,3,A,1,pack-pattern,""
34602,pack7_soc,Battery pack 7 SOC,u16,÷10,3,%,1,pack-pattern,""
34603,pack7_cycle_count,Battery pack 7 cycle count,u16,×1,0,-,1,pack-pattern,""
34604,pack7_max_cell_voltage,Pack 7 max cell voltage,u16,÷1000,0,V,1,pack-pattern,""
34605,pack7_unknown,Pack 7 unknown,u16,÷1000,0,V,1,pack-pattern,""
34606,pack7_min_cell_voltage,Pack 7 min cell voltage,u16,÷1000,0,V,1,pack-pattern,""
34607,pack7_max_ntc,Pack 7 max NTC,i16,÷10,3,°C,1,pack-pattern,""
34608,pack7_protect1,Pack 7 protection flags 1,u16,×1,0,bitmask,1,pack-pattern,""
34609,pack7_protect2,Pack 7 protection flags 2,u16,×1,0,bitmask,1,pack-pattern,""
34610,pack7_bms_version,Pack 7 BMS version,u16,×1,0,-,1,pack-pattern,""
34611,pack7_cell_ntc_0,Pack 7 cell NTC 0,i16,÷10,3,°C,1,pack-pattern,""
34612,pack7_cell_ntc_1,Pack 7 cell NTC 1,i16,÷10,3,°C,1,pack-pattern,""
34613,pack7_cell_ntc_2,Pack 7 cell NTC 2,i16,÷10,3,°C,1,pack-pattern,""
34614,pack7_cell_ntc_3,Pack 7 cell NTC 3,i16,÷10,3,°C,1,pack-pattern,""
34615,pack7_mos_ntc,Pack 7 MOSFET NTC,i16,÷10,3,°C,1,pack-pattern,""
34616,pack7_env_ntc,Pack 7 environment NTC,i16,÷10,3,°C,1,pack-pattern,""
34617,pack7_avg_ntc,Pack 7 average NTC,i16,÷10,3,°C,1,pack-pattern,""
34618,pack7_cell_1_voltage,Pack 7 cell 1 voltage,i16,÷1000,0,V,16,pack-pattern,"34618-34633 (16 cells)"
35000,internal_temperature,Internal device temperature,i16,÷10,3,°C,1,FW-verified,"Scale 0.1; BLE: temperature1"
35001,mos1_temperature,MOSFET 1 temperature,i16,÷10,3,°C,1,FW-verified,"Scale 0.1; BLE: temperature2"
35002,mos2_temperature,MOSFET 2 temperature,i16,÷10,3,°C,1,FW-verified,"Scale 0.1; BLE: temperature3"
35010,max_cell_temperature,Max cell temperature (all packs),i16,÷10,3,°C,1,FW-verified,"Scale 0.1; BLE: temperature4"
35011,min_cell_temperature,Min cell temperature (all packs),i16,÷10,3,°C,1,scan,"BLE: temperature5; raw=190→19.0°C"
35100,inverter_state,Inverter / device operating state,u16,×1,0,-,1,FW-verified,"State machine value; BLE: workMode (u8 at 0x04); enum: 0=Auto,1=Standby,2=Charging,3=Sell,4=UPS/EPS,5=ForceCharge,6=GridExport,7=Schedule"
35110,unknown_35110,,u16,×1,0,-,1,scan,"Raw=576"
35111,unknown_35111,,u16,×1,0,-,1,scan,"Raw=500"
35112,unknown_35112,,u16,×1,0,-,1,scan,"Raw=500"
36000,alarm_status,Alarm status bits,u32,×1,0,bitmask,2,FW-verified,"Regs 36000-36001; bit-encoded alarms"
36100,fault_status,Fault status bits,u64,×1,0,bitmask,4,FW-verified,"Regs 36100-36103; bit-encoded faults"
37000,unknown_37000,,u16,×1,0,-,1,scan,"Raw=1"
37001,unknown_37001,,u16,×1,0,-,1,scan,"Raw=0"
37002,unknown_37002,,u16,×1,0,-,1,scan,"Raw=0"
37003,unknown_37003,,u16,×1,0,-,1,scan,"Raw=0"
37004,ac_current,AC grid current,i16,÷100,4,A,1,FW-verified,"Scale 0.01; negative=feed-in"
37005,unknown_37005,,u16,×1,0,-,1,scan,"Raw=14"
37006,unknown_37006,,u16,×1,0,-,1,scan,"Raw=192"
37007,max_cell_voltage,Max cell voltage (all packs),u16,÷1000,0,V,1,FW-verified,"Scale 0.001"
