Register,Key,Description,Type,Scale,Unit,scan1_newFW_idle_14pct,scan2_oldFW_standby_95pct,scan3_oldFW_discharge_500W,scan4_charge,Confidence,Notes
30202,vms_version,VMS firmware version,uint16,-,-,115,115,115,115,📊 scan,
30203,,,,,,106,106,106,106,❓ unknown,Constant 106
30204,bms_version,BMS firmware version,uint16,-,-,116,116,116,116,📊 scan,
30205,,,,,,104,104,104,104,❓ unknown,Constant 104
30210,,,,,,3,0,0,0,❓ unknown,
30211,,,,,,0,0,0,0,❓ unknown,
30212,,,,,,2,5,5,5,❓ unknown,"Old FW=5, new FW=2; possibly pack count or config"
30213,,,,,,0,0,0,0,❓ unknown,
30214,,,,,,0,0,0,0,❓ unknown,
30300,wifi_status,WiFi connected (0/1),uint16,1,-,1,1,1,1,📊 scan,
30301,bluetooth_status,Bluetooth status,uint16,-,-,1,1,1,1,📊 scan,
30302,cloud_status,Cloud connected (0/1),uint16,1,-,0,0,0,0,📊 scan,
30303,wifi_signal_strength,WiFi RSSI,uint16,-1,dBm,53,53,56,54,📊 scan,Negate raw; 53→-53dBm
30304,mac_address,MAC address (6 regs),char,-,-,13880,13880,13880,13880,📊 scan,30304-30309: AA:BB:CC:DD:EE:FF
30305,,,,,,12852,12852,12852,12852,❓ unknown,
30306,,,,,,14649,14649,14649,14649,❓ unknown,
30307,,,,,,17733,17733,17733,17733,❓ unknown,
30308,,,,,,17975,17975,17975,17975,❓ unknown,
30309,,,,,,13635,13635,13635,13635,❓ unknown,
30350,comm_module_firmware,Comm module FW (6 regs),char,-,-,12848,12848,12848,12848,📊 scan,30350-30355: 20240909_0159
30351,,,,,,12852,12852,12852,12852,❓ unknown,
30352,,,,,,12345,12345,12345,12345,❓ unknown,
30353,,,,,,12345,12345,12345,12345,❓ unknown,
30354,,,,,,12337,12337,12337,12337,❓ unknown,
30355,,,,,,13625,13625,13625,13625,❓ unknown,
30400,ip_address,IP address,uint16,-,-,49320,49320,49320,49320,❓ unknown,30400-30403: IP/gateway?
30401,,,,,,46490,46490,46490,46490,❓ unknown,
30402,,,,,,49320,49320,49320,49320,❓ unknown,
30403,,,,,,46337,46337,46337,46337,❓ unknown,
31000,device_name,Device name (string),char,-,-,22094,22094,22094,22094,📊 scan,31000-31002: VNSD-0
31001,,,,,,21316,21316,21316,21316,❓ unknown,
31002,,,,,,11568,11568,11568,11568,❓ unknown,
31003,,,,,,0,5,5,5,❓ unknown,"Old FW=5, new FW=0; possibly pack count"
31004,,,,,,0,1543,1543,1543,❓ unknown,"Old FW=1543 (0x0607), new FW=0"
31005,,,,,,0,0,0,0,❓ unknown,
31006,,,,,,0,0,0,0,❓ unknown,
31007,,,,,,0,0,0,0,❓ unknown,
31008,,,,,,0,0,0,0,❓ unknown,
31009,,,,,,0,0,0,0,❓ unknown,
32105,battery_total_energy,Total stored energy,uint16,0.001,kWh,5120,,,10240,✅ FW-verified,
32200,ac_voltage,AC voltage,uint16,0.1,V,2398,,,2395,✅ FW-verified,
32204,ac_frequency,AC frequency,int16,0.1,Hz,499,,,499,✅ FW-verified,
32300,ac_offgrid_voltage,AC offgrid voltage,uint16,0.1,V,3,,,5,✅ FW-verified,
32301,ac_offgrid_current,AC offgrid current,uint16,0.01,A,3,,,5,✅ FW-verified,
32302,ac_offgrid_power,AC offgrid power,int32,1,W,0,,,0,✅ FW-verified,Spans 32302-32303
33000,total_charging_energy,Total charging energy (high),uint32,0.01,kWh,0,0,0,0,✅ FW-verified,uint32 with 33001
33001,total_charging_energy_lo,Total charging energy (low),uint32,0.01,kWh,1863,4150,4162,29666,✅ FW-verified,
33002,total_discharging_energy,Total discharging energy (high),int32,0.01,kWh,0,0,0,0,✅ FW-verified,uint32 with 33003
33003,total_discharging_energy_lo,Total discharging energy (low),int32,0.01,kWh,0,1013,1013,24386,✅ FW-verified,
33004,daily_charging_energy,Daily charging energy (high),uint32,0.01,kWh,0,0,0,0,✅ FW-verified,uint32 with 33005
33005,daily_charging_energy_lo,Daily charging energy (low),uint32,0.01,kWh,0,0,12,72,✅ FW-verified,
33006,daily_discharging_energy,Daily discharging energy (high),int32,0.01,kWh,0,0,0,0,✅ FW-verified,uint32 with 33007
33007,daily_discharging_energy_lo,Daily discharging energy (low),int32,0.01,kWh,0,0,0,410,✅ FW-verified,
33008,monthly_charging_energy,Monthly charging energy (high),uint32,0.01,kWh,0,0,0,0,✅ FW-verified,uint32 with 33009
33009,monthly_charging_energy_lo,Monthly charging energy (low),uint32,0.01,kWh,79,665,678,1085,✅ FW-verified,
33010,monthly_discharging_energy,Monthly discharging energy (high),int32,0.01,kWh,0,0,0,0,✅ FW-verified,uint32 with 33011
33011,monthly_discharging_energy_lo,Monthly discharging energy (low),int32,0.01,kWh,0,0,0,1241,✅ FW-verified,
34000,pack1_bat_volt,Pack 1 Battery voltage,uint16,0.01,V,5114,5322,5322,5291,✅ FW-verified,
34001,pack1_bat_curr,Pack 1 Battery current,int16,0.1,A,0,0,0,0,✅ FW-verified,
34002,pack1_bat_soc,Pack 1 SOC,uint16,0.1,%,146,950,946,501,✅ FW-verified,"Scale 0.1 confirmed: 950→95.0%, 946→94.6%, 146→14.6%"
34003,pack1_cycle_count,Pack 1 Cycle count,uint16,1,-,19,6,6,6,✅ FW-verified,
34004,pack1_max_cell_v,Pack 1 Max cell voltage delta?,uint16,0.001,V,3,0,0,0,✅ FW-verified,
34005,pack1_cell_v_max,Pack 1 Max cell voltage,uint16,0.001,V,3199,3328,3327,3308,✅ FW-verified,
34006,pack1_cell_v_min,Pack 1 Min cell voltage,uint16,0.001,V,3195,3326,3325,3306,✅ FW-verified,
34007,pack1_max_ntc,Pack 1 Max NTC temp,uint16,0.1,°C,0,0,0,0,✅ FW-verified,
34008,pack1_protect1,Pack 1 Protection bitmask 1,uint16,bitmask,-,0,0,0,0,✅ FW-verified,
34009,pack1_protect2,Pack 1 Protection bitmask 2,uint16,bitmask,-,0,0,0,0,✅ FW-verified,
34010,pack1_bms_version,Pack 1 BMS version,uint16,1,-,116,116,116,116,✅ FW-verified,
34011,pack1_cell_ntc_0,Pack 1 Cell NTC 0,uint16,0.1,°C,261,298,301,335,✅ FW-verified,
34012,pack1_cell_ntc_1,Pack 1 Cell NTC 1,uint16,0.1,°C,198,234,237,321,✅ FW-verified,
34013,pack1_cell_ntc_2,Pack 1 Cell NTC 2,uint16,0.1,°C,193,229,230,276,✅ FW-verified,
34014,pack1_cell_ntc_3,Pack 1 Cell NTC 3,uint16,0.1,°C,194,230,231,268,✅ FW-verified,
34015,pack1_mos_ntc,Pack 1 MOS NTC,uint16,0.1,°C,192,228,229,270,✅ FW-verified,
34016,pack1_env_ntc,Pack 1 Environment NTC,uint16,0.1,°C,191,228,229,267,✅ FW-verified,
34017,pack1_avg_ntc,Pack 1 Average NTC,uint16,0.1,°C,0,0,0,0,✅ FW-verified,
34018,pack1_cell_1_voltage,Pack 1 Cell 1 voltage,uint16,0.001,V,3197,3326,3326,3307,✅ FW-verified,
34019,pack1_cell_2_voltage,Pack 1 Cell 2 voltage,uint16,0.001,V,3196,3327,3327,3306,✅ FW-verified,
34020,pack1_cell_3_voltage,Pack 1 Cell 3 voltage,uint16,0.001,V,3196,3326,3326,3307,✅ FW-verified,
34021,pack1_cell_4_voltage,Pack 1 Cell 4 voltage,uint16,0.001,V,3197,3326,3326,3308,✅ FW-verified,
34022,pack1_cell_5_voltage,Pack 1 Cell 5 voltage,uint16,0.001,V,3196,3327,3325,3307,✅ FW-verified,
34023,pack1_cell_6_voltage,Pack 1 Cell 6 voltage,uint16,0.001,V,3196,3327,3327,3308,✅ FW-verified,
34024,pack1_cell_7_voltage,Pack 1 Cell 7 voltage,uint16,0.001,V,3196,3326,3326,3307,✅ FW-verified,
34025,pack1_cell_8_voltage,Pack 1 Cell 8 voltage,uint16,0.001,V,3199,3327,3327,3308,✅ FW-verified,
34026,pack1_cell_9_voltage,Pack 1 Cell 9 voltage,uint16,0.001,V,3196,3326,3326,3307,✅ FW-verified,
34027,pack1_cell_10_voltage,Pack 1 Cell 10 voltage,uint16,0.001,V,3198,3328,3327,3308,✅ FW-verified,
34028,pack1_cell_11_voltage,Pack 1 Cell 11 voltage,uint16,0.001,V,3196,3327,3326,3307,✅ FW-verified,
34029,pack1_cell_12_voltage,Pack 1 Cell 12 voltage,uint16,0.001,V,3197,3327,3327,3307,✅ FW-verified,
34030,pack1_cell_13_voltage,Pack 1 Cell 13 voltage,uint16,0.001,V,3195,3327,3327,3307,✅ FW-verified,
34031,pack1_cell_14_voltage,Pack 1 Cell 14 voltage,uint16,0.001,V,3196,3328,3327,3308,✅ FW-verified,
34032,pack1_cell_15_voltage,Pack 1 Cell 15 voltage,uint16,0.001,V,3197,3326,3326,3307,✅ FW-verified,
34033,pack1_cell_16_voltage,Pack 1 Cell 16 voltage,uint16,0.001,V,3196,3326,3325,3306,✅ FW-verified,
34100,pack2_bat_volt,Pack 2 Battery voltage,uint16,0.01,V,5024,5320,5265,5263,✅ FW-verified,
34101,pack2_bat_curr,Pack 2 Battery current,int16,0.1,A,0,0,65436,0,✅ FW-verified,int16; discharge: 65436→-100→-10.0A (Pack2 was active)
34102,pack2_bat_soc,Pack 2 SOC,uint16,0.1,%,109,950,882,406,✅ FW-verified,
34103,pack2_cycle_count,Pack 2 Cycle count,uint16,1,-,17,5,5,6,✅ FW-verified,
34104,pack2_max_cell_v,Pack 2 Max cell voltage delta?,uint16,0.001,V,0,3,3,0,✅ FW-verified,
34105,pack2_cell_v_max,Pack 2 Max cell voltage,uint16,0.001,V,3143,3326,3293,3291,✅ FW-verified,
34106,pack2_cell_v_min,Pack 2 Min cell voltage,uint16,0.001,V,3139,3325,3289,3289,✅ FW-verified,
34107,pack2_max_ntc,Pack 2 Max NTC temp,uint16,0.1,°C,0,0,0,0,✅ FW-verified,
34108,pack2_protect1,Pack 2 Protection bitmask 1,uint16,bitmask,-,0,0,0,0,✅ FW-verified,
34109,pack2_protect2,Pack 2 Protection bitmask 2,uint16,bitmask,-,0,0,0,0,✅ FW-verified,
34110,pack2_bms_version,Pack 2 BMS version,uint16,1,-,116,116,116,116,✅ FW-verified,
34111,pack2_cell_ntc_0,Pack 2 Cell NTC 0,uint16,0.1,°C,249,300,302,309,✅ FW-verified,
34112,pack2_cell_ntc_1,Pack 2 Cell NTC 1,uint16,0.1,°C,189,238,252,258,✅ FW-verified,
34113,pack2_cell_ntc_2,Pack 2 Cell NTC 2,uint16,0.1,°C,194,222,225,230,✅ FW-verified,
34114,pack2_cell_ntc_3,Pack 2 Cell NTC 3,uint16,0.1,°C,199,224,228,232,✅ FW-verified,
34115,pack2_mos_ntc,Pack 2 MOS NTC,uint16,0.1,°C,190,221,223,228,✅ FW-verified,
34116,pack2_env_ntc,Pack 2 Environment NTC,uint16,0.1,°C,198,224,227,233,✅ FW-verified,
34117,pack2_avg_ntc,Pack 2 Average NTC,uint16,0.1,°C,0,0,0,0,✅ FW-verified,
34118,pack2_cell_1_voltage,Pack 2 Cell 1 voltage,uint16,0.001,V,3142,3325,3291,3290,✅ FW-verified,
34119,pack2_cell_2_voltage,Pack 2 Cell 2 voltage,uint16,0.001,V,3141,3326,3291,3290,✅ FW-verified,
34120,pack2_cell_3_voltage,Pack 2 Cell 3 voltage,uint16,0.001,V,3141,3326,3291,3290,✅ FW-verified,
34121,pack2_cell_4_voltage,Pack 2 Cell 4 voltage,uint16,0.001,V,3140,3326,3294,3290,✅ FW-verified,
34122,pack2_cell_5_voltage,Pack 2 Cell 5 voltage,uint16,0.001,V,3142,3325,3291,3290,✅ FW-verified,
34123,pack2_cell_6_voltage,Pack 2 Cell 6 voltage,uint16,0.001,V,3141,3326,3293,3290,✅ FW-verified,
34124,pack2_cell_7_voltage,Pack 2 Cell 7 voltage,uint16,0.001,V,3140,3325,3292,3289,✅ FW-verified,
34125,pack2_cell_8_voltage,Pack 2 Cell 8 voltage,uint16,0.001,V,3139,3326,3292,3291,✅ FW-verified,
34126,pack2_cell_9_voltage,Pack 2 Cell 9 voltage,uint16,0.001,V,3138,3325,3291,3289,✅ FW-verified,
34127,pack2_cell_10_voltage,Pack 2 Cell 10 voltage,uint16,0.001,V,3139,3326,3290,3291,✅ FW-verified,
34128,pack2_cell_11_voltage,Pack 2 Cell 11 voltage,uint16,0.001,V,3138,3324,3290,3290,✅ FW-verified,
34129,pack2_cell_12_voltage,Pack 2 Cell 12 voltage,uint16,0.001,V,3139,3326,3291,3290,✅ FW-verified,
34130,pack2_cell_13_voltage,Pack 2 Cell 13 voltage,uint16,0.001,V,3139,3325,3289,3290,✅ FW-verified,
34131,pack2_cell_14_voltage,Pack 2 Cell 14 voltage,uint16,0.001,V,3142,3327,3291,3291,✅ FW-verified,
34132,pack2_cell_15_voltage,Pack 2 Cell 15 voltage,uint16,0.001,V,3142,3325,3290,3289,✅ FW-verified,
34133,pack2_cell_16_voltage,Pack 2 Cell 16 voltage,uint16,0.001,V,3139,3326,3291,3289,✅ FW-verified,
34200,pack3_bat_volt,Pack 3 Battery voltage,uint16,0.01,V,0,5323,5323,5299,✅ confirmed,
34201,pack3_bat_curr,Pack 3 Battery current,int16,0.1,A,0,0,0,0,⬆ pack-pattern,
34202,pack3_bat_soc,Pack 3 SOC,uint16,0.1,%,0,950,946,401,✅ confirmed,
34203,pack3_cycle_count,Pack 3 Cycle count,uint16,1,-,0,48,48,49,✅ confirmed,
34204,pack3_max_cell_v,Pack 3 Max cell voltage delta?,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34205,pack3_cell_v_max,Pack 3 Max cell voltage,uint16,0.001,V,0,3329,3328,3313,✅ confirmed,
34206,pack3_cell_v_min,Pack 3 Min cell voltage,uint16,0.001,V,0,3326,3326,3311,✅ confirmed,
34207,pack3_max_ntc,Pack 3 Max NTC temp,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34208,pack3_protect1,Pack 3 Protection bitmask 1,uint16,bitmask,-,0,0,0,0,⬆ pack-pattern,
34209,pack3_protect2,Pack 3 Protection bitmask 2,uint16,bitmask,-,0,0,0,0,⬆ pack-pattern,
34210,pack3_bms_version,Pack 3 BMS version,uint16,1,-,0,116,116,116,✅ confirmed,
34211,pack3_cell_ntc_0,Pack 3 Cell NTC 0,uint16,0.1,°C,0,296,296,319,✅ confirmed,
34212,pack3_cell_ntc_1,Pack 3 Cell NTC 1,uint16,0.1,°C,0,230,230,315,✅ confirmed,
34213,pack3_cell_ntc_2,Pack 3 Cell NTC 2,uint16,0.1,°C,0,219,220,237,✅ confirmed,
34214,pack3_cell_ntc_3,Pack 3 Cell NTC 3,uint16,0.1,°C,0,219,220,236,✅ confirmed,
34215,pack3_mos_ntc,Pack 3 MOS NTC,uint16,0.1,°C,0,218,218,236,✅ confirmed,
34216,pack3_env_ntc,Pack 3 Environment NTC,uint16,0.1,°C,0,217,217,236,✅ confirmed,
34217,pack3_avg_ntc,Pack 3 Average NTC,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34218,pack3_cell_1_voltage,Pack 3 Cell 1 voltage,uint16,0.001,V,0,3327,3326,3312,✅ confirmed,
34219,pack3_cell_2_voltage,Pack 3 Cell 2 voltage,uint16,0.001,V,0,3327,3326,3312,✅ confirmed,
34220,pack3_cell_3_voltage,Pack 3 Cell 3 voltage,uint16,0.001,V,0,3327,3326,3312,✅ confirmed,
34221,pack3_cell_4_voltage,Pack 3 Cell 4 voltage,uint16,0.001,V,0,3327,3327,3313,✅ confirmed,
34222,pack3_cell_5_voltage,Pack 3 Cell 5 voltage,uint16,0.001,V,0,3327,3326,3312,✅ confirmed,
34223,pack3_cell_6_voltage,Pack 3 Cell 6 voltage,uint16,0.001,V,0,3327,3326,3312,✅ confirmed,
34224,pack3_cell_7_voltage,Pack 3 Cell 7 voltage,uint16,0.001,V,0,3327,3327,3312,✅ confirmed,
34225,pack3_cell_8_voltage,Pack 3 Cell 8 voltage,uint16,0.001,V,0,3327,3327,3313,✅ confirmed,
34226,pack3_cell_9_voltage,Pack 3 Cell 9 voltage,uint16,0.001,V,0,3326,3326,3312,✅ confirmed,
34227,pack3_cell_10_voltage,Pack 3 Cell 10 voltage,uint16,0.001,V,0,3328,3327,3312,✅ confirmed,
34228,pack3_cell_11_voltage,Pack 3 Cell 11 voltage,uint16,0.001,V,0,3329,3327,3311,✅ confirmed,
34229,pack3_cell_12_voltage,Pack 3 Cell 12 voltage,uint16,0.001,V,0,3327,3327,3312,✅ confirmed,
34230,pack3_cell_13_voltage,Pack 3 Cell 13 voltage,uint16,0.001,V,0,3327,3327,3312,✅ confirmed,
34231,pack3_cell_14_voltage,Pack 3 Cell 14 voltage,uint16,0.001,V,0,3327,3328,3312,✅ confirmed,
34232,pack3_cell_15_voltage,Pack 3 Cell 15 voltage,uint16,0.001,V,0,3326,3326,3311,✅ confirmed,
34233,pack3_cell_16_voltage,Pack 3 Cell 16 voltage,uint16,0.001,V,0,3327,3327,3312,✅ confirmed,
34300,pack4_bat_volt,Pack 4 Battery voltage,uint16,0.01,V,0,5326,5325,5402,✅ confirmed,
34301,pack4_bat_curr,Pack 4 Battery current,int16,0.1,A,0,0,0,375,⬆ pack-pattern,int16 scale 0.1; charge: 375→+37.5A (Pack4 was active charge pack)
34302,pack4_bat_soc,Pack 4 SOC,uint16,0.1,%,0,950,946,323,✅ confirmed,
34303,pack4_cycle_count,Pack 4 Cycle count,uint16,1,-,0,44,44,44,✅ confirmed,
34304,pack4_max_cell_v,Pack 4 Max cell voltage delta?,uint16,0.001,V,0,0,0,3,⬆ pack-pattern,
34305,pack4_cell_v_max,Pack 4 Max cell voltage,uint16,0.001,V,0,3332,3330,3378,✅ confirmed,
34306,pack4_cell_v_min,Pack 4 Min cell voltage,uint16,0.001,V,0,3328,3328,3374,✅ confirmed,
34307,pack4_max_ntc,Pack 4 Max NTC temp,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34308,pack4_protect1,Pack 4 Protection bitmask 1,uint16,bitmask,-,0,0,0,0,⬆ pack-pattern,
34309,pack4_protect2,Pack 4 Protection bitmask 2,uint16,bitmask,-,0,0,0,0,⬆ pack-pattern,
34310,pack4_bms_version,Pack 4 BMS version,uint16,1,-,0,116,116,116,✅ confirmed,
34311,pack4_cell_ntc_0,Pack 4 Cell NTC 0,uint16,0.1,°C,0,281,283,287,✅ confirmed,
34312,pack4_cell_ntc_1,Pack 4 Cell NTC 1,uint16,0.1,°C,0,220,221,255,✅ confirmed,
34313,pack4_cell_ntc_2,Pack 4 Cell NTC 2,uint16,0.1,°C,0,216,216,220,✅ confirmed,
34314,pack4_cell_ntc_3,Pack 4 Cell NTC 3,uint16,0.1,°C,0,215,215,221,✅ confirmed,
34315,pack4_mos_ntc,Pack 4 MOS NTC,uint16,0.1,°C,0,214,214,218,✅ confirmed,
34316,pack4_env_ntc,Pack 4 Environment NTC,uint16,0.1,°C,0,215,216,221,✅ confirmed,
34317,pack4_avg_ntc,Pack 4 Average NTC,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34318,pack4_cell_1_voltage,Pack 4 Cell 1 voltage,uint16,0.001,V,0,3328,3328,3376,✅ confirmed,
34319,pack4_cell_2_voltage,Pack 4 Cell 2 voltage,uint16,0.001,V,0,3330,3329,3377,✅ confirmed,
34320,pack4_cell_3_voltage,Pack 4 Cell 3 voltage,uint16,0.001,V,0,3328,3327,3377,✅ confirmed,
34321,pack4_cell_4_voltage,Pack 4 Cell 4 voltage,uint16,0.001,V,0,3329,3329,3377,✅ confirmed,
34322,pack4_cell_5_voltage,Pack 4 Cell 5 voltage,uint16,0.001,V,0,3327,3327,3377,✅ confirmed,
34323,pack4_cell_6_voltage,Pack 4 Cell 6 voltage,uint16,0.001,V,0,3328,3329,3376,✅ confirmed,
34324,pack4_cell_7_voltage,Pack 4 Cell 7 voltage,uint16,0.001,V,0,3328,3328,3376,✅ confirmed,
34325,pack4_cell_8_voltage,Pack 4 Cell 8 voltage,uint16,0.001,V,0,3329,3328,3377,✅ confirmed,
34326,pack4_cell_9_voltage,Pack 4 Cell 9 voltage,uint16,0.001,V,0,3328,3328,3377,✅ confirmed,
34327,pack4_cell_10_voltage,Pack 4 Cell 10 voltage,uint16,0.001,V,0,3329,3329,3377,✅ confirmed,
34328,pack4_cell_11_voltage,Pack 4 Cell 11 voltage,uint16,0.001,V,0,3328,3328,3376,✅ confirmed,
34329,pack4_cell_12_voltage,Pack 4 Cell 12 voltage,uint16,0.001,V,0,3330,3329,3377,✅ confirmed,
34330,pack4_cell_13_voltage,Pack 4 Cell 13 voltage,uint16,0.001,V,0,3329,3329,3375,✅ confirmed,
34331,pack4_cell_14_voltage,Pack 4 Cell 14 voltage,uint16,0.001,V,0,3329,3329,3378,✅ confirmed,
34332,pack4_cell_15_voltage,Pack 4 Cell 15 voltage,uint16,0.001,V,0,3327,3327,3376,✅ confirmed,
34333,pack4_cell_16_voltage,Pack 4 Cell 16 voltage,uint16,0.001,V,0,3331,3330,3375,✅ confirmed,
34400,pack5_bat_volt,Pack 5 Battery voltage,uint16,0.01,V,0,0,0,0,⬆ pack-pattern,
34401,pack5_bat_curr,Pack 5 Battery current,int16,0.1,A,0,0,0,0,⬆ pack-pattern,
34402,pack5_bat_soc,Pack 5 SOC,uint16,0.1,%,0,0,0,0,⬆ pack-pattern,
34403,pack5_cycle_count,Pack 5 Cycle count,uint16,1,-,0,0,0,0,⬆ pack-pattern,
34404,pack5_max_cell_v,Pack 5 Max cell voltage delta?,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34405,pack5_cell_v_max,Pack 5 Max cell voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34406,pack5_cell_v_min,Pack 5 Min cell voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34407,pack5_max_ntc,Pack 5 Max NTC temp,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34408,pack5_protect1,Pack 5 Protection bitmask 1,uint16,bitmask,-,0,0,0,0,⬆ pack-pattern,
34409,pack5_protect2,Pack 5 Protection bitmask 2,uint16,bitmask,-,0,0,0,0,⬆ pack-pattern,
34410,pack5_bms_version,Pack 5 BMS version,uint16,1,-,0,0,0,0,⬆ pack-pattern,
34411,pack5_cell_ntc_0,Pack 5 Cell NTC 0,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34412,pack5_cell_ntc_1,Pack 5 Cell NTC 1,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34413,pack5_cell_ntc_2,Pack 5 Cell NTC 2,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34414,pack5_cell_ntc_3,Pack 5 Cell NTC 3,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34415,pack5_mos_ntc,Pack 5 MOS NTC,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34416,pack5_env_ntc,Pack 5 Environment NTC,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34417,pack5_avg_ntc,Pack 5 Average NTC,uint16,0.1,°C,0,0,0,0,⬆ pack-pattern,
34418,pack5_cell_1_voltage,Pack 5 Cell 1 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34419,pack5_cell_2_voltage,Pack 5 Cell 2 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34420,pack5_cell_3_voltage,Pack 5 Cell 3 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
34421,pack5_cell_4_voltage,Pack 5 Cell 4 voltage,uint16,0.001,V,0,0,0,0,⬆ pack-pattern,
