Register;Hex;Name;SRAM_Ziel;Beschreibung;Write_Only;Persistence;Moegliche_Werte;Bemerkung
43127;0xA877;slot6_end_time;0x20014D36;Zeitplan Slot 6 — Endzeit;Nein;EEPROM (via Schedule-Persist);HHMM-Format;Schedule-Struct Slot 5 Offset +6
43128;0xA878;slot6_power;0x20014D32;Zeitplan Slot 6 — Leistung;Nein;EEPROM (via Schedule-Persist);-2500 bis +2500 W;Schedule-Struct Slot 5 Offset +2
43129;0xA879;slot6_enable;0x20014D31;Zeitplan Slot 6 — Aktivierung;Nein;EEPROM (via Schedule-Persist);0=deaktiviert; 1=aktiviert;Schedule-Struct Slot 5 Offset +1
44002;0xABE2;max_discharge_power;0x20000156;Maximale Entladeleistung;Nein;SRAM;0-2500 (W);Ruft FUN_080060d6 und FUN_08006c9c auf
44003;0xABE3;max_charge_power;0x20000158;Maximale Ladeleistung;Nein;SRAM;0-2500 (W);Ruft FUN_08006114 und FUN_08006d68 auf
45000;0xAFC8;cmd_system_control;0x200002B4;System-Steuerkommando;Ja;SRAM;0x55EE=Modus A (FUN_08005f94(0)); 0x55BB=Modus B (FUN_08005f94(1));Setzt zusaetzlich *0x200002B4=2 und ruft FUN_08005ccc(1/0) auf
45001;0xAFC9;cmd_reset_init;—;System-Reset/Init ausfuehren;Ja;—;beliebiger Wert (Kommando wird sofort ausgefuehrt);Ruft FUN_08005f50() + FUN_0802bf70()
45002;0xAFCA;cmd_function_1;—;Steuerfunktion 1;Ja;—;beliebiger Wert;Ruft FUN_08006488(1)
45003;0xAFCB;cmd_function_2;—;Steuerfunktion 2;Ja;—;beliebiger Wert;Ruft FUN_08005e8a()
45004;0xAFCC;cmd_mode_select;—;Modus-Auswahl (3 Modi);Ja;—;1=Modus 1; 2=Modus 2; 3=Modus 3;Ruft FUN_08005eac(1/2/3). Anderer Wert → Error 3
45005;0xAFCD;cmd_function_3;—;Steuerfunktion 3;Ja;—;beliebiger Wert;Ruft FUN_08005f0a()
45006;0xAFCE;cmd_function_4;—;Steuerfunktion 4;Ja;—;beliebiger Wert;Ruft FUN_08027e44()
45007;0xAFCF;cmd_function_5;—;Steuerfunktion 5;Ja;—;beliebiger Wert;Ruft FUN_08005f2c(1)
45008;0xAFD0;cmd_set_power_a;—;Leistung setzen (Variante A);Ja;—;1-2500 (W positiv); >32767 (negativ: Wert-65535);Ruft FUN_08005ece(power). Werte 0 und 2501-32767 werden ignoriert
45009;0xAFD1;cmd_enable_disable_a;—;Ein-/Ausschalten (Variante A);Ja;—;0=deaktivieren; 1=aktivieren;Ruft FUN_08005e68(0/1)
45010;0xAFD2;cmd_set_power_b;—;Leistung setzen (Variante B);Ja;—;1-2500 (W positiv); >32767 (negativ: Wert-65535);Ruft FUN_08005e2c(power). Werte 0 und 2501-32767 werden ignoriert
45011;0xAFD3;cmd_mode_select_ext;—;Erweiterte Modus-Auswahl (5 Modi);Ja;—;1→intern 1; 2→intern 2; 3→intern 4; 4→intern 0; 5→intern 5;Ruft FUN_0802bec8(mapped_value). 0-9 gueltig / >9 → Error 3
45012;0xAFD4;cmd_set_power_default;—;Leistung mit Default-Fallback;Ja;—;1-29999 (W); anderer Wert → Default 2000W;Ruft FUN_08005a90(0 / power)
45013;0xAFD5;reserved_13;—;Reserviert — nicht funktional;—;—;—;Gibt Error 2 zurueck (illegal data address)
45014;0xAFD6;reserved_14;—;Reserviert — nicht funktional;—;—;—;Gibt Error 2 zurueck
45015;0xAFD7;reserved_15;—;Reserviert — nicht funktional;—;—;—;Gibt Error 2 zurueck
45016;0xAFD8;reserved_16;—;Reserviert — nicht funktional;—;—;—;Gibt Error 2 zurueck
45017;0xAFD9;reserved_17;—;Reserviert — nicht funktional;—;—;—;Gibt Error 2 zurueck
45018;0xAFDA;reserved_18;—;Reserviert — nicht funktional;—;—;—;Gibt Error 2 zurueck
45019;0xAFDB;reserved_19;—;Reserviert — nicht funktional;—;—;—;Gibt Error 2 zurueck
45020;0xAFDC;cmd_smr_relay_adc;—;SMR-Relay mit ADC-Messung;Ja;—;1-3999 (loest komplexe Relay+ADC-Operation aus);GEFAEHRLICH: Schaltet Relay und misst ADC. Nur mit Hardware-Verstaendnis nutzen!
45021;0xAFDD;cmd_smr_enable;—;SMR Ein-/Ausschalten;Ja;—;1=einschalten (FUN_08005ccc(1)); 0=ausschalten (FUN_08005ccc(1/0));
45022;0xAFDE;cmd_function_6;—;Steuerfunktion 6;Ja;—;beliebiger Wert;Ruft FUN_08005ca8(1)
45023;0xAFDF;cmd_gpio_debug_1;—;GPIO Debug-Kommando 1;Ja;—;beliebiger Wert;Ruft FUN_08005bc4(1). HW-Debug — Vorsicht!
45024;0xAFE0;cmd_gpio_debug_2;—;GPIO Debug-Kommando 2;Ja;—;beliebiger Wert;Ruft FUN_08005ba0(1). HW-Debug — Vorsicht!
45025;0xAFE1;cmd_gpio_pin_0x400;—;GPIO Pin 0x400 setzen/loeschen;Ja;—;1=Pin setzen (FUN_08012d8c); 0=Pin loeschen (FUN_08012d90);HW-Debug — Pin-Funktion unbekannt
45026;0xAFE2;cmd_gpio_pin_0x8000;—;GPIO Pin 0x8000 setzen/loeschen;Ja;—;1=Pin loeschen (invertiert!); 0=Pin setzen (invertiert!);HW-Debug — invertierte Logik gegenueber 45025
45027;0xAFE3;cmd_wifi_reset;—;WiFi-Modul Reset;Ja;—;beliebiger Wert;Ruft FUN_0802cf68(1). Setzt WiFi/FC41D-Modul zurueck
45028;0xAFE4;cmd_relay_contactor;—;Relay/Contactor schalten;Ja;—;beliebiger Wert;Ruft FUN_0802bef4(2)
45029;0xAFE5;cmd_debug_flag;0x20014FA3;Debug-Flag setzen/loeschen;Ja;SRAM;1=Flag setzen; 0=Flag loeschen;Schreibt an DAT_08051fe8+0x21 = 0x20014FA3
45030;0xAFE6;cmd_ble_enable;—;BLE ein-/ausschalten;Ja;—;1=einschalten (FUN_0802bef4(0xB)); 0=ausschalten (FUN_0802bef4(0xC));
45031;0xAFE7;cmd_smr_relay_retry;—;SMR-Relay mit Retry-Logik;Ja;—;1 (einziger gueltiger Wert);Prueft SMR-Status (0xAA) / retried bis 50x mit 100ms Delay. Error 3 bei Timeout
45603;0xB223;adc_version_bcd_ch1;—;BCD-Versionsnummer via ADC Kanal 1;Nein (nur lesen);SRAM;—;Lesen: triggert ADC-Messung und gibt BCD-codierten Wert zurueck. Schreiben: Error 1
45604;0xB224;adc_version_bcd_ch2;—;BCD-Versionsnummer via ADC Kanal 2;Nein (nur lesen);SRAM;—;Lesen: triggert ADC-Messung und gibt BCD-codierten Wert zurueck. Schreiben: Error 1
45605;0xB225;status_query;—;Status-Abfrage (read-only);Nein (nur lesen);SRAM;—;Lesen: ruft FUN_08002e10() auf und gibt Ergebnis zurueck. Schreiben: Error 1
46000;0xB3B0;ota_command;0x20000132 / 0x20000270;OTA-Steuerkommando;Ja;EEPROM 0x900 (bei 0x5100);0x5100=EEPROM-Flag setzen (Addr 0x900); 0x4D2(1234)=Mode 1; 0x929(2345)=Mode 4; 0xD80(3456)=Mode 3; 0x11D7(4567)=Mode 2;GEFAEHRLICH: Kann OTA/Update-Prozess ausloesen! Nicht ohne Verstaendnis nutzen!
46500;0xB5A4;eeprom_struct_00_reg0;0x20014EC8;EEPROM-Struct Entry 0 — u16 Wert;Nein;EEPROM 0x36BF;u16 Wert;15 Entries a 8 Bytes. 3 Register pro Entry. EEPROM-persistent ab 0x36BF
46501;0xB5A5;eeprom_struct_00_reg1;0x20014ECC;EEPROM-Struct Entry 0 — u32 obere 16 Bit;Nein;EEPROM 0x36BF;u16 (obere 16 Bit eines u32);
46502;0xB5A6;eeprom_struct_00_reg2;0x20014ECC;EEPROM-Struct Entry 0 — u32 untere 16 Bit;Nein;EEPROM 0x36BF;u16 (untere 16 Bit eines u32);Schreibt in selbe u32-Adresse wie Reg 46501
46503;0xB5A7;eeprom_struct_01_reg0;0x20014ED0;EEPROM-Struct Entry 1 — u16 Wert;Nein;EEPROM 0x36C7;u16 Wert;
46504;0xB5A8;eeprom_struct_01_reg1;0x20014ED4;EEPROM-Struct Entry 1 — u32 obere 16 Bit;Nein;EEPROM 0x36C7;u16;
46505;0xB5A9;eeprom_struct_01_reg2;0x20014ED4;EEPROM-Struct Entry 1 — u32 untere 16 Bit;Nein;EEPROM 0x36C7;u16;
46506;0xB5AA;eeprom_struct_02_reg0;0x20014ED8;EEPROM-Struct Entry 2 — u16 Wert;Nein;EEPROM 0x36CF;u16 Wert;
46507;0xB5AB;eeprom_struct_02_reg1;0x20014EDC;EEPROM-Struct Entry 2 — u32 obere 16 Bit;Nein;EEPROM 0x36CF;u16;
46508;0xB5AC;eeprom_struct_02_reg2;0x20014EDC;EEPROM-Struct Entry 2 — u32 untere 16 Bit;Nein;EEPROM 0x36CF;u16;
46509;0xB5AD;eeprom_struct_03_reg0;0x20014EE0;EEPROM-Struct Entry 3 — u16 Wert;Nein;EEPROM 0x36D7;u16 Wert;
46510;0xB5AE;eeprom_struct_03_reg1;0x20014EE4;EEPROM-Struct Entry 3 — u32 obere 16 Bit;Nein;EEPROM 0x36D7;u16;
46511;0xB5AF;eeprom_struct_03_reg2;0x20014EE4;EEPROM-Struct Entry 3 — u32 untere 16 Bit;Nein;EEPROM 0x36D7;u16;
46512;0xB5B0;eeprom_struct_04_reg0;0x20014EE8;EEPROM-Struct Entry 4 — u16 Wert;Nein;EEPROM 0x36DF;u16 Wert;
46513;0xB5B1;eeprom_struct_04_reg1;0x20014EEC;EEPROM-Struct Entry 4 — u32 obere 16 Bit;Nein;EEPROM 0x36DF;u16;
46514;0xB5B2;eeprom_struct_04_reg2;0x20014EEC;EEPROM-Struct Entry 4 — u32 untere 16 Bit;Nein;EEPROM 0x36DF;u16;
46515;0xB5B3;eeprom_struct_05_reg0;0x20014EF0;EEPROM-Struct Entry 5 — u16 Wert;Nein;EEPROM 0x36E7;u16 Wert;
46516;0xB5B4;eeprom_struct_05_reg1;0x20014EF4;EEPROM-Struct Entry 5 — u32 obere 16 Bit;Nein;EEPROM 0x36E7;u16;
46517;0xB5B5;eeprom_struct_05_reg2;0x20014EF4;EEPROM-Struct Entry 5 — u32 untere 16 Bit;Nein;EEPROM 0x36E7;u16;
46518;0xB5B6;eeprom_struct_06_reg0;0x20014EF8;EEPROM-Struct Entry 6 — u16 Wert;Nein;EEPROM 0x36EF;u16 Wert;
46519;0xB5B7;eeprom_struct_06_reg1;0x20014EFC;EEPROM-Struct Entry 6 — u32 obere 16 Bit;Nein;EEPROM 0x36EF;u16;
46520;0xB5B8;eeprom_struct_06_reg2;0x20014EFC;EEPROM-Struct Entry 6 — u32 untere 16 Bit;Nein;EEPROM 0x36EF;u16;
46521;0xB5B9;eeprom_struct_07_reg0;0x20014F00;EEPROM-Struct Entry 7 — u16 Wert;Nein;EEPROM 0x36F7;u16 Wert;
46522;0xB5BA;eeprom_struct_07_reg1;0x20014F04;EEPROM-Struct Entry 7 — u32 obere 16 Bit;Nein;EEPROM 0x36F7;u16;
46523;0xB5BB;eeprom_struct_07_reg2;0x20014F04;EEPROM-Struct Entry 7 — u32 untere 16 Bit;Nein;EEPROM 0x36F7;u16;
46524;0xB5BC;eeprom_struct_08_reg0;0x20014F08;EEPROM-Struct Entry 8 — u16 Wert;Nein;EEPROM 0x36FF;u16 Wert;
46525;0xB5BD;eeprom_struct_08_reg1;0x20014F0C;EEPROM-Struct Entry 8 — u32 obere 16 Bit;Nein;EEPROM 0x36FF;u16;
46526;0xB5BE;eeprom_struct_08_reg2;0x20014F0C;EEPROM-Struct Entry 8 — u32 untere 16 Bit;Nein;EEPROM 0x36FF;u16;
46527;0xB5BF;eeprom_struct_09_reg0;0x20014F10;EEPROM-Struct Entry 9 — u16 Wert;Nein;EEPROM 0x3707;u16 Wert;
46528;0xB5C0;eeprom_struct_09_reg1;0x20014F14;EEPROM-Struct Entry 9 — u32 obere 16 Bit;Nein;EEPROM 0x3707;u16;
46529;0xB5C1;eeprom_struct_09_reg2;0x20014F14;EEPROM-Struct Entry 9 — u32 untere 16 Bit;Nein;EEPROM 0x3707;u16;
46530;0xB5C2;eeprom_struct_10_reg0;0x20014F18;EEPROM-Struct Entry 10 — u16 Wert;Nein;EEPROM 0x370F;u16 Wert;
46531;0xB5C3;eeprom_struct_10_reg1;0x20014F1C;EEPROM-Struct Entry 10 — u32 obere 16 Bit;Nein;EEPROM 0x370F;u16;
46532;0xB5C4;eeprom_struct_10_reg2;0x20014F1C;EEPROM-Struct Entry 10 — u32 untere 16 Bit;Nein;EEPROM 0x370F;u16;
46533;0xB5C5;eeprom_struct_11_reg0;0x20014F20;EEPROM-Struct Entry 11 — u16 Wert;Nein;EEPROM 0x3717;u16 Wert;
46534;0xB5C6;eeprom_struct_11_reg1;0x20014F24;EEPROM-Struct Entry 11 — u32 obere 16 Bit;Nein;EEPROM 0x3717;u16;
46535;0xB5C7;eeprom_struct_11_reg2;0x20014F24;EEPROM-Struct Entry 11 — u32 untere 16 Bit;Nein;EEPROM 0x3717;u16;
46536;0xB5C8;eeprom_struct_12_reg0;0x20014F28;EEPROM-Struct Entry 12 — u16 Wert;Nein;EEPROM 0x371F;u16 Wert;
46537;0xB5C9;eeprom_struct_12_reg1;0x20014F2C;EEPROM-Struct Entry 12 — u32 obere 16 Bit;Nein;EEPROM 0x371F;u16;
46538;0xB5CA;eeprom_struct_12_reg2;0x20014F2C;EEPROM-Struct Entry 12 — u32 untere 16 Bit;Nein;EEPROM 0x371F;u16;
46539;0xB5CB;eeprom_struct_13_reg0;0x20014F30;EEPROM-Struct Entry 13 — u16 Wert;Nein;EEPROM 0x3727;u16 Wert;
46540;0xB5CC;eeprom_struct_13_reg1;0x20014F34;EEPROM-Struct Entry 13 — u32 obere 16 Bit;Nein;EEPROM 0x3727;u16;
46541;0xB5CD;eeprom_struct_13_reg2;0x20014F34;EEPROM-Struct Entry 13 — u32 untere 16 Bit;Nein;EEPROM 0x3727;u16;
46542;0xB5CE;eeprom_struct_14_reg0;0x20014F38;EEPROM-Struct Entry 14 — u16 Wert;Nein;EEPROM 0x372F;u16 Wert;
