Register,Key,Description,Type,Scale,Unit,scan1_newFW_idle_14pct,scan2_oldFW_standby_95pct,scan3_oldFW_discharge_500W,scan4_charge,scan5_6pack_charge2kW_peaktemp,Confidence,Notes
31000,device_name,Device name (string),char,-,-,22094,22094,22094,22094,22094,📊 scan,31000-31002: VNSD-0
31001,,,,,,21316,21316,21316,21316,21316,❓ unknown,
31002,,,,,,11568,11568,11568,11568,11568,❓ unknown,
31003,pack_count,Anzahl angeschlossener Packs(?),uint16,1,-,0,5,5,5,5,🔍 Vermutung,"0 bei 4 Packs (FW148), 5 bei 6 Packs (FW149.2) — ändert sich mit Pack-Anzahl. Mapping unklar (5≠6)"
31004,pack_config_2,Pack-Konfiguration 2,uint16,1,-,0,1543,1543,1543,1543,❓ unknown,"0 bei 4 Packs (FW148), 1543 (0x0607) bei 6 Packs — Pack-abhängig, nicht FW-abhängig. Bedeutung unklar"
31005,,,,,,0,0,0,0,0,❓ unknown,
31006,,,,,,0,0,0,0,0,❓ unknown,
31007,,,,,,0,0,0,0,0,❓ unknown,
31008,,,,,,0,0,0,0,0,❓ unknown,
31009,,,,,,0,0,0,0,0,❓ unknown,
32105,battery_total_energy,Total stored energy,uint16,0.001,kWh,5120,,,10240,15360,✅ FW-verified,
32200,ac_voltage,AC voltage,uint16,0.1,V,2398,,,2395,2399,✅ FW-verified,
32204,ac_frequency,AC frequency,int16,0.1,Hz,499,,,499,499,✅ FW-verified,
32300,ac_offgrid_voltage,AC offgrid voltage,uint16,0.1,V,3,,,5,8,✅ FW-verified + Backup-Test,Backup-Test: 2370-2426 (237-243V). Spiegelt 30005 mit ±8 Abweichung
32301,ac_offgrid_voltage_2,AC offgrid voltage 2 (=32300),uint16,0.1,V,3,,,5,8,✅ Backup-Test,FW sagt current(0.01A) aber Backup-Test zeigt: in ALLEN 28 Scans identisch mit 32300. Tatsächlich Spannung nicht Strom!
32302,ac_offgrid_power,AC offgrid power,uint16,1,W,0,,,0,0,✅ FW-verified + Backup-Test,Backup-Test: 0-3233W. Spiegelt 30007 mit leichter Verzögerung. FW sagt int32(+32303) aber Werte passen in uint16
33000,total_charging_energy,Total charging energy (high),uint32,0.01,kWh,0,0,0,0,0,✅ FW-verified,uint32 with 33001
33001,total_charging_energy_lo,Total charging energy (low),uint32,0.01,kWh,1863,4150,4162,29666,30911,✅ FW-verified,
33002,total_discharging_energy,Total discharging energy (high),int32,0.01,kWh,0,0,0,0,0,✅ FW-verified,uint32 with 33003
33003,total_discharging_energy_lo,Total discharging energy (low),int32,0.01,kWh,0,1013,1013,24386,25130,✅ FW-verified,
33004,daily_charging_energy,Daily charging energy (high),uint32,0.01,kWh,0,0,0,0,0,✅ FW-verified,uint32 with 33005
33005,daily_charging_energy_lo,Daily charging energy (low),uint32,0.01,kWh,0,0,12,72,615,✅ FW-verified,
33006,daily_discharging_energy,Daily discharging energy (high),int32,0.01,kWh,0,0,0,0,0,✅ FW-verified,uint32 with 33007
33007,daily_discharging_energy_lo,Daily discharging energy (low),int32,0.01,kWh,0,0,0,410,682,✅ FW-verified,
33008,monthly_charging_energy,Monthly charging energy (high),uint32,0.01,kWh,0,0,0,0,0,✅ FW-verified,uint32 with 33009
33009,monthly_charging_energy_lo,Monthly charging energy (low),uint32,0.01,kWh,79,665,678,1085,2331,✅ FW-verified,
33010,monthly_discharging_energy,Monthly discharging energy (high),int32,0.01,kWh,0,0,0,0,0,✅ FW-verified,uint32 with 33011
33011,monthly_discharging_energy_lo,Monthly discharging energy (low),int32,0.01,kWh,0,0,0,1241,1984,✅ FW-verified,
34000,pack1_bat_volt,Pack 1 Battery voltage,uint16,0.01,V,5114,5322,5322,5291,5424,✅ FW-verified,
34001,pack1_bat_curr,Pack 1 Battery current,int16,0.1,A,0,0,0,0,377,✅ FW-verified,
34002,pack1_bat_soc,Pack 1 SOC,uint16,0.1,%,146,950,946,501,617,✅ FW-verified,"Scale 0.1 confirmed: 950→95.0%, 946→94.6%, 146→14.6%"
34003,pack1_cycle_count,Pack 1 Cycle count,uint16,1,-,19,6,6,6,0,✅ FW-verified,
34004,pack1_charge_status,Pack 1 Ladestatus (0=idle 3=aktiv),uint16,1,-,3,0,0,0,3,🔍 Vermutung,Langzeit: =3 genau wenn Pack aktiv lädt; =0 wenn idle. Nicht Spannungsdelta!
34005,pack1_cell_v_max,Pack 1 Max cell voltage,uint16,0.001,V,3199,3328,3327,3308,3393,✅ FW-verified,
34006,pack1_cell_v_min,Pack 1 Min cell voltage,uint16,0.001,V,3195,3326,3325,3306,3388,✅ FW-verified,
34007,pack1_max_ntc,Pack 1 Max NTC temp,uint16,0.1,°C,0,0,0,0,0,✅ FW-verified,
34008,pack1_protect1,Pack 1 Protection bitmask 1,uint16,bitmask,-,0,0,0,0,0,✅ FW-verified,
34009,pack1_protect2,Pack 1 Protection bitmask 2,uint16,bitmask,-,0,0,0,0,0,✅ FW-verified + Entlade-Test,Bit1(0x0002)=Low-SOC/Unterspannung. Tritt bei ~10.7% und nochmal unter 10% auf. Scan225: 0x0C93 bei Komplett-Shutdown
34010,pack1_bms_version,Pack 1 BMS version,uint16,1,-,116,116,116,116,116,✅ FW-verified,
34011,pack1_cell_ntc_0,Pack 1 Cell NTC 0,uint16,0.1,°C,261,298,301,335,402,✅ FW-verified,
34012,pack1_cell_ntc_1,Pack 1 Cell NTC 1,uint16,0.1,°C,198,234,237,321,397,✅ FW-verified,
34013,pack1_cell_ntc_2,Pack 1 Cell NTC 2,uint16,0.1,°C,193,229,230,276,304,✅ FW-verified,
34014,pack1_cell_ntc_3,Pack 1 Cell NTC 3,uint16,0.1,°C,194,230,231,268,302,✅ FW-verified,
34015,pack1_mos_ntc,Pack 1 MOS NTC,uint16,0.1,°C,192,228,229,270,297,✅ FW-verified,
34016,pack1_env_ntc,Pack 1 Environment NTC,uint16,0.1,°C,191,228,229,267,300,✅ FW-verified,
34017,pack1_avg_ntc,Pack 1 Average NTC,uint16,0.1,°C,0,0,0,0,0,✅ FW-verified,
34018,pack1_cell_1_voltage,Pack 1 Cell 1 voltage,uint16,0.001,V,3197,3326,3326,3307,3388,✅ FW-verified,
34019,pack1_cell_2_voltage,Pack 1 Cell 2 voltage,uint16,0.001,V,3196,3327,3327,3306,3388,✅ FW-verified,
34020,pack1_cell_3_voltage,Pack 1 Cell 3 voltage,uint16,0.001,V,3196,3326,3326,3307,3388,✅ FW-verified,
34021,pack1_cell_4_voltage,Pack 1 Cell 4 voltage,uint16,0.001,V,3197,3326,3326,3308,3390,✅ FW-verified,
34022,pack1_cell_5_voltage,Pack 1 Cell 5 voltage,uint16,0.001,V,3196,3327,3325,3307,3390,✅ FW-verified,
34023,pack1_cell_6_voltage,Pack 1 Cell 6 voltage,uint16,0.001,V,3196,3327,3327,3308,3391,✅ FW-verified,
34024,pack1_cell_7_voltage,Pack 1 Cell 7 voltage,uint16,0.001,V,3196,3326,3326,3307,3389,✅ FW-verified,
34025,pack1_cell_8_voltage,Pack 1 Cell 8 voltage,uint16,0.001,V,3199,3327,3327,3308,3393,✅ FW-verified,
34026,pack1_cell_9_voltage,Pack 1 Cell 9 voltage,uint16,0.001,V,3196,3326,3326,3307,3391,✅ FW-verified,
34027,pack1_cell_10_voltage,Pack 1 Cell 10 voltage,uint16,0.001,V,3198,3328,3327,3308,3391,✅ FW-verified,
34028,pack1_cell_11_voltage,Pack 1 Cell 11 voltage,uint16,0.001,V,3196,3327,3326,3307,3392,✅ FW-verified,
34029,pack1_cell_12_voltage,Pack 1 Cell 12 voltage,uint16,0.001,V,3197,3327,3327,3307,3392,✅ FW-verified,
34030,pack1_cell_13_voltage,Pack 1 Cell 13 voltage,uint16,0.001,V,3195,3327,3327,3307,3391,✅ FW-verified,
34031,pack1_cell_14_voltage,Pack 1 Cell 14 voltage,uint16,0.001,V,3196,3328,3327,3308,3391,✅ FW-verified,
34032,pack1_cell_15_voltage,Pack 1 Cell 15 voltage,uint16,0.001,V,3197,3326,3326,3307,3390,✅ FW-verified,
34033,pack1_cell_16_voltage,Pack 1 Cell 16 voltage,uint16,0.001,V,3196,3326,3325,3306,3390,✅ FW-verified,
34100,pack2_bat_volt,Pack 2 Battery voltage,uint16,0.01,V,5024,5320,5265,5263,5288,✅ FW-verified,
34101,pack2_bat_curr,Pack 2 Battery current,int16,0.1,A,0,0,65436,0,0,✅ FW-verified,int16; discharge: 65436→-100→-10.0A (Pack2 was active)
34102,pack2_bat_soc,Pack 2 SOC,uint16,0.1,%,109,950,882,406,600,✅ FW-verified,
34103,pack2_cycle_count,Pack 2 Cycle count,uint16,1,-,17,5,5,6,0,✅ FW-verified,
34104,pack2_charge_status,Pack 2 Ladestatus (0=idle 3=aktiv),uint16,1,-,0,3,3,0,0,🔍 Vermutung,Analog zu 34004; =3 bei aktivem Laden/Entladen
34105,pack2_cell_v_max,Pack 2 Max cell voltage,uint16,0.001,V,3143,3326,3293,3291,3306,✅ FW-verified,
34106,pack2_cell_v_min,Pack 2 Min cell voltage,uint16,0.001,V,3139,3325,3289,3289,3305,✅ FW-verified,
34107,pack2_max_ntc,Pack 2 Max NTC temp,uint16,0.1,°C,0,0,0,0,0,✅ FW-verified,
34108,pack2_protect1,Pack 2 Protection bitmask 1,uint16,bitmask,-,0,0,0,0,0,✅ FW-verified,
34109,pack2_protect2,Pack 2 Protection bitmask 2,uint16,bitmask,-,0,0,0,0,0,✅ FW-verified + Entlade-Test,Bit1(0x0002)=Low-SOC/Unterspannung bei niedrigem SOC
34110,pack2_bms_version,Pack 2 BMS version,uint16,1,-,116,116,116,116,116,✅ FW-verified,
34111,pack2_cell_ntc_0,Pack 2 Cell NTC 0,uint16,0.1,°C,249,300,302,309,365,✅ FW-verified,
34112,pack2_cell_ntc_1,Pack 2 Cell NTC 1,uint16,0.1,°C,189,238,252,258,330,✅ FW-verified,
34113,pack2_cell_ntc_2,Pack 2 Cell NTC 2,uint16,0.1,°C,194,222,225,230,278,✅ FW-verified,
34114,pack2_cell_ntc_3,Pack 2 Cell NTC 3,uint16,0.1,°C,199,224,228,232,278,✅ FW-verified,
34115,pack2_mos_ntc,Pack 2 MOS NTC,uint16,0.1,°C,190,221,223,228,279,✅ FW-verified,
34116,pack2_env_ntc,Pack 2 Environment NTC,uint16,0.1,°C,198,224,227,233,281,✅ FW-verified,
34117,pack2_avg_ntc,Pack 2 Average NTC,uint16,0.1,°C,0,0,0,0,0,✅ FW-verified,
34118,pack2_cell_1_voltage,Pack 2 Cell 1 voltage,uint16,0.001,V,3142,3325,3291,3290,3305,✅ FW-verified,
34119,pack2_cell_2_voltage,Pack 2 Cell 2 voltage,uint16,0.001,V,3141,3326,3291,3290,3305,✅ FW-verified,
34120,pack2_cell_3_voltage,Pack 2 Cell 3 voltage,uint16,0.001,V,3141,3326,3291,3290,3305,✅ FW-verified,
34121,pack2_cell_4_voltage,Pack 2 Cell 4 voltage,uint16,0.001,V,3140,3326,3294,3290,3306,✅ FW-verified,
34122,pack2_cell_5_voltage,Pack 2 Cell 5 voltage,uint16,0.001,V,3142,3325,3291,3290,3305,✅ FW-verified,
34123,pack2_cell_6_voltage,Pack 2 Cell 6 voltage,uint16,0.001,V,3141,3326,3293,3290,3306,✅ FW-verified,
34124,pack2_cell_7_voltage,Pack 2 Cell 7 voltage,uint16,0.001,V,3140,3325,3292,3289,3305,✅ FW-verified,
34125,pack2_cell_8_voltage,Pack 2 Cell 8 voltage,uint16,0.001,V,3139,3326,3292,3291,3306,✅ FW-verified,
34126,pack2_cell_9_voltage,Pack 2 Cell 9 voltage,uint16,0.001,V,3138,3325,3291,3289,3305,✅ FW-verified,
34127,pack2_cell_10_voltage,Pack 2 Cell 10 voltage,uint16,0.001,V,3139,3326,3290,3291,3306,✅ FW-verified,
34128,pack2_cell_11_voltage,Pack 2 Cell 11 voltage,uint16,0.001,V,3138,3324,3290,3290,3305,✅ FW-verified,
34129,pack2_cell_12_voltage,Pack 2 Cell 12 voltage,uint16,0.001,V,3139,3326,3291,3290,3306,✅ FW-verified,
34130,pack2_cell_13_voltage,Pack 2 Cell 13 voltage,uint16,0.001,V,3139,3325,3289,3290,3305,✅ FW-verified,
34131,pack2_cell_14_voltage,Pack 2 Cell 14 voltage,uint16,0.001,V,3142,3327,3291,3291,3305,✅ FW-verified,
34132,pack2_cell_15_voltage,Pack 2 Cell 15 voltage,uint16,0.001,V,3142,3325,3290,3289,3305,✅ FW-verified,
34133,pack2_cell_16_voltage,Pack 2 Cell 16 voltage,uint16,0.001,V,3139,3326,3291,3289,3305,✅ FW-verified,
34200,pack3_bat_volt,Pack 3 Battery voltage,uint16,0.01,V,0,5323,5323,5299,5290,✅ confirmed,
34201,pack3_bat_curr,Pack 3 Battery current,int16,0.1,A,0,0,0,0,0,⬆ pack-pattern,
34202,pack3_bat_soc,Pack 3 SOC,uint16,0.1,%,0,950,946,401,601,✅ confirmed,
34203,pack3_cycle_count,Pack 3 Cycle count,uint16,1,-,0,48,48,49,7,✅ confirmed,
34204,pack3_charge_status,Pack 3 Ladestatus (0=idle 3=aktiv),uint16,1,-,0,0,0,0,0,🔍 Vermutung,Analog zu 34004; =3 bei aktivem Laden/Entladen
34205,pack3_cell_v_max,Pack 3 Max cell voltage,uint16,0.001,V,0,3329,3328,3313,3308,✅ confirmed,
34206,pack3_cell_v_min,Pack 3 Min cell voltage,uint16,0.001,V,0,3326,3326,3311,3306,✅ confirmed,
34207,pack3_max_ntc,Pack 3 Max NTC temp,uint16,0.1,°C,0,0,0,0,0,⬆ pack-pattern,
34208,pack3_protect1,Pack 3 Protection bitmask 1,uint16,bitmask,-,0,0,0,0,0,⬆ pack-pattern,
34209,pack3_protect2,Pack 3 Protection bitmask 2,uint16,bitmask,-,0,0,0,0,0,⬆ pack-pattern + Entlade-Test,Bit1(0x0002)=Low-SOC/Unterspannung bei niedrigem SOC
34210,pack3_bms_version,Pack 3 BMS version,uint16,1,-,0,116,116,116,116,✅ confirmed,
34211,pack3_cell_ntc_0,Pack 3 Cell NTC 0,uint16,0.1,°C,0,296,296,319,374,✅ confirmed,
34212,pack3_cell_ntc_1,Pack 3 Cell NTC 1,uint16,0.1,°C,0,230,230,315,340,✅ confirmed,
34213,pack3_cell_ntc_2,Pack 3 Cell NTC 2,uint16,0.1,°C,0,219,220,237,329,✅ confirmed,
34214,pack3_cell_ntc_3,Pack 3 Cell NTC 3,uint16,0.1,°C,0,219,220,236,316,✅ confirmed,
34215,pack3_mos_ntc,Pack 3 MOS NTC,uint16,0.1,°C,0,218,218,236,319,✅ confirmed,
34216,pack3_env_ntc,Pack 3 Environment NTC,uint16,0.1,°C,0,217,217,236,316,✅ confirmed,
34217,pack3_avg_ntc,Pack 3 Average NTC,uint16,0.1,°C,0,0,0,0,0,⬆ pack-pattern,
34218,pack3_cell_1_voltage,Pack 3 Cell 1 voltage,uint16,0.001,V,0,3327,3326,3312,3307,✅ confirmed,
34219,pack3_cell_2_voltage,Pack 3 Cell 2 voltage,uint16,0.001,V,0,3327,3326,3312,3307,✅ confirmed,
34220,pack3_cell_3_voltage,Pack 3 Cell 3 voltage,uint16,0.001,V,0,3327,3326,3312,3306,✅ confirmed,
34221,pack3_cell_4_voltage,Pack 3 Cell 4 voltage,uint16,0.001,V,0,3327,3327,3313,3308,✅ confirmed,
34222,pack3_cell_5_voltage,Pack 3 Cell 5 voltage,uint16,0.001,V,0,3327,3326,3312,3306,✅ confirmed,
34223,pack3_cell_6_voltage,Pack 3 Cell 6 voltage,uint16,0.001,V,0,3327,3326,3312,3307,✅ confirmed,
34224,pack3_cell_7_voltage,Pack 3 Cell 7 voltage,uint16,0.001,V,0,3327,3327,3312,3306,✅ confirmed,
34225,pack3_cell_8_voltage,Pack 3 Cell 8 voltage,uint16,0.001,V,0,3327,3327,3313,3308,✅ confirmed,
34226,pack3_cell_9_voltage,Pack 3 Cell 9 voltage,uint16,0.001,V,0,3326,3326,3312,3306,✅ confirmed,
34227,pack3_cell_10_voltage,Pack 3 Cell 10 voltage,uint16,0.001,V,0,3328,3327,3312,3307,✅ confirmed,
34228,pack3_cell_11_voltage,Pack 3 Cell 11 voltage,uint16,0.001,V,0,3329,3327,3311,3306,✅ confirmed,
34229,pack3_cell_12_voltage,Pack 3 Cell 12 voltage,uint16,0.001,V,0,3327,3327,3312,3307,✅ confirmed,
34230,pack3_cell_13_voltage,Pack 3 Cell 13 voltage,uint16,0.001,V,0,3327,3327,3312,3306,✅ confirmed,
34231,pack3_cell_14_voltage,Pack 3 Cell 14 voltage,uint16,0.001,V,0,3327,3328,3312,3307,✅ confirmed,
34232,pack3_cell_15_voltage,Pack 3 Cell 15 voltage,uint16,0.001,V,0,3326,3326,3311,3305,✅ confirmed,
34233,pack3_cell_16_voltage,Pack 3 Cell 16 voltage,uint16,0.001,V,0,3327,3327,3312,3305,✅ confirmed,
34300,pack4_bat_volt,Pack 4 Battery voltage,uint16,0.01,V,0,5326,5325,5402,5293,✅ confirmed,
34301,pack4_bat_curr,Pack 4 Battery current,int16,0.1,A,0,0,0,375,0,⬆ pack-pattern,int16 scale 0.1; charge: 375→+37.5A (Pack4 was active charge pack)
34302,pack4_bat_soc,Pack 4 SOC,uint16,0.1,%,0,950,946,323,601,✅ confirmed,
34303,pack4_cycle_count,Pack 4 Cycle count,uint16,1,-,0,44,44,44,7,✅ confirmed,
34304,pack4_charge_status,Pack 4 Ladestatus (0=idle 3=aktiv),uint16,1,-,0,0,0,3,0,🔍 Vermutung,Analog zu 34004; =3 bei aktivem Laden/Entladen
34305,pack4_cell_v_max,Pack 4 Max cell voltage,uint16,0.001,V,0,3332,3330,3378,3310,✅ confirmed,
34306,pack4_cell_v_min,Pack 4 Min cell voltage,uint16,0.001,V,0,3328,3328,3374,3308,✅ confirmed,
34307,pack4_max_ntc,Pack 4 Max NTC temp,uint16,0.1,°C,0,0,0,0,0,⬆ pack-pattern,
34308,pack4_protect1,Pack 4 Protection bitmask 1,uint16,bitmask,-,0,0,0,0,0,⬆ pack-pattern,
34309,pack4_protect2,Pack 4 Protection bitmask 2,uint16,bitmask,-,0,0,0,0,0,⬆ pack-pattern + Entlade-Test,Bit1(0x0002)=Low-SOC/Unterspannung bei niedrigem SOC
34310,pack4_bms_version,Pack 4 BMS version,uint16,1,-,0,116,116,116,116,✅ confirmed,
34311,pack4_cell_ntc_0,Pack 4 Cell NTC 0,uint16,0.1,°C,0,281,283,287,380,✅ confirmed,
34312,pack4_cell_ntc_1,Pack 4 Cell NTC 1,uint16,0.1,°C,0,220,221,255,354,✅ confirmed,
34313,pack4_cell_ntc_2,Pack 4 Cell NTC 2,uint16,0.1,°C,0,216,216,220,309,✅ confirmed,
